Input1(a);Input1(b);Input2;Input3;Input4(l);Input4(y);Input4(u);Input5(gg);Input5(p);Input5(g);Input6(j);Input6(ff);Input6(aa);Input6(e);Input6(i);Input6(x);Input6(d);Input6(c);Input6(k);Input6(cc);Input6(r);Input6(m);Input6(q);Input6(w);Input7(n);Input7(dd);Input7(o);Input7(z);Input7(j);Input7(ff);Input7(bb);Input7(h);Input7(v);Input8;Input9(f);Input9(t);Input10(f);Input10(t);Input11;Input12(t);Input12(f);Input13(p);Input13(s);Input13(g);Input14;Input15;Desired1;Desired2
1;0;45.83;10.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;5;0;1;0;1;7;1;0;0;0;1;0;0;0;1
0;1;36.67;4.415;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.25;0;1;0;1;10;1;0;0;0;1;320;0;0;1
0;1;28.25;0.875;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0.96;0;1;0;1;3;1;0;0;0;1;396;0;0;1
1;0;23.25;5.875;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3.17;0;1;0;1;10;0;1;0;0;1;120;245;0;1
0;1;21.83;0.25;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.665;0;1;1;0;0;1;0;0;0;1;0;0;0;1
1;0;19.17;8.585;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0.75;0;1;0;1;7;0;1;0;0;1;96;0;0;1
0;1;25;11.25;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.5;0;1;0;1;17;0;1;0;0;1;200;1208;0;1
0;1;23.25;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.835;0;1;1;0;0;0;1;0;1;0;300;0;0;1
1;0;47.75;8;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7.875;0;1;0;1;6;1;0;0;0;1;0;1260;0;1
1;0;27.42;14.5;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.085;0;1;0;1;1;0;1;0;0;1;120;11;0;1
1;0;41.17;6.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0.5;0;1;0;1;3;1;0;0;0;1;145;0;0;1
1;0;15.83;0.585;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1.5;0;1;0;1;2;0;1;0;0;1;100;0;0;1
1;0;47;13;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5.165;0;1;0;1;9;1;0;0;0;1;0;0;0;1
0;1;56.58;18.5;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;15;0;1;0;1;17;1;0;0;0;1;0;0;0;1
0;1;57.42;8.5;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;1;0;1;3;0;1;0;0;1;0;0;0;1
0;1;42.08;1.04;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;5;0;1;0;1;6;1;0;0;0;1;500;10000;0;1
0;1;29.25;14.79;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5.04;0;1;0;1;5;1;0;0;0;1;168;0;0;1
0;1;42;9.79;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7.96;0;1;0;1;8;0;1;0;0;1;0;0;0;1
0;1;49.5;7.585;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7.585;0;1;0;1;15;1;0;0;0;1;0;5000;0;1
1;0;36.75;5.125;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;1;1;0;0;1;0;0;0;1;0;4000;0;1
1;0;22.58;10.75;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0.415;0;1;0;1;5;1;0;0;0;1;0;560;0;1
0;1;27.83;1.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;1;0;1;11;1;0;0;0;1;434;35;0;1
0;1;27.25;1.585;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1.835;0;1;0;1;12;1;0;0;0;1;583;713;0;1
1;0;23;11.75;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.5;0;1;0;1;2;1;0;0;0;1;300;551;0;1
0;1;27.75;0.585;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0.25;0;1;0;1;2;0;1;0;0;1;260;500;0;1
0;1;54.58;9.415;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;14.415;0;1;0;1;11;1;0;0;0;1;30;300;0;1
0;1;34.17;9.17;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4.5;0;1;0;1;12;1;0;0;0;1;0;221;0;1
0;1;28.92;15;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5.335;0;1;0;1;11;0;1;0;0;1;0;2283;0;1
0;1;29.67;1.415;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.75;0;1;0;1;1;0;1;0;0;1;240;100;0;1
0;1;39.58;13.915;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;8.625;0;1;0;1;6;1;0;0;0;1;70;0;0;1
0;1;56.42;28;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28.5;0;1;0;1;40;0;1;0;0;1;0;15;0;1
0;1;54.33;6.75;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.625;0;1;0;1;11;1;0;0;0;1;0;284;0;1
1;0;41;2.04;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0.125;0;1;0;1;23;1;0;0;0;1;455;1236;0;1
0;1;31.92;4.46;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;6.04;0;1;0;1;3;0;1;0;0;1;311;300;0;1
0;1;41.5;1.54;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.5;1;0;1;0;0;0;1;0;0;1;216;0;0;1
0;1;23.92;0.665;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.165;1;0;1;0;0;0;1;0;0;1;100;0;0;1
1;0;25.75;0.5;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.875;0;1;1;0;0;1;0;0;0;1;491;0;0;1
0;1;26;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1.75;0;1;1;0;0;1;0;0;0;1;280;0;0;1
0;1;37.42;2.04;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0.04;0;1;1;0;0;1;0;0;0;1;400;5800;0;1
0;1;34.92;2.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;239;200;0;1
0;1;34.25;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;7.415;0;1;1;0;0;1;0;0;0;1;0;0;0;1
0;1;23.33;11.625;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0.835;0;1;1;0;0;1;0;0;0;1;160;300;0;1
0;1;23.17;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0.085;0;1;1;0;0;0;1;0;0;1;0;0;0;1
0;1;44.33;0.5;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;1;1;0;0;1;0;0;0;1;320;0;0;1
0;1;35.17;4.5;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5.75;1;0;1;0;0;1;0;0;1;0;711;0;0;1
0;1;43.25;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;6;0;1;0;1;11;0;1;0;0;1;80;0;0;1
0;1;56.75;12.25;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1.25;0;1;0;1;4;1;0;0;0;1;200;0;0;1
0;1;31.67;16.165;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;1;9;0;1;0;0;1;250;730;0;1
1;0;23.42;0.79;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1.5;0;1;0;1;2;1;0;0;0;1;80;400;0;1
1;0;20.42;0.835;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1.585;0;1;0;1;1;0;1;0;0;1;0;0;0;1
0;1;26.67;4.25;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4.29;0;1;0;1;1;1;0;0;0;1;120;0;0;1
0;1;34.17;1.54;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1.54;0;1;0;1;1;1;0;0;0;1;520;50000;0;1
1;0;36;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;1;11;0;1;0;0;1;0;456;0;1
0;1;25.5;0.375;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0.25;0;1;0;1;3;0;1;0;0;1;260;15108;0;1
0;1;19.42;6.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1.46;0;1;0;1;7;0;1;0;0;1;80;2954;0;1
0;1;35.17;25.125;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1.625;0;1;0;1;1;1;0;0;0;1;515;500;0;1
0;1;32.33;7.5;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1.585;0;1;1;0;0;1;0;0;1;0;420;0;1;0
1;0;38.58;5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;13.5;0;1;1;0;0;1;0;0;0;1;980;0;1;0
0;1;44.25;0.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;10.75;0;1;1;0;0;0;1;0;1;0;400;0;1;0
0;1;44.83;7;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.625;1;0;1;0;0;0;1;0;0;1;160;2;1;0
0;1;20.67;5.29;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0.375;0;1;0;1;1;0;1;0;0;1;160;0;1;0
0;1;34.08;6.5;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.125;0;1;1;0;0;1;0;0;0;1;443;0;1;0
1;0;19.17;0.585;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.585;0;1;1;0;0;1;0;0;0;1;160;0;1;0
0;1;21.67;1.165;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.5;0;1;0;1;1;0;1;0;0;1;180;20;1;0
0;1;21.5;9.75;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.25;0;1;1;0;0;0;1;0;0;1;140;0;1;0
0;1;49.58;19;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;1;94;0;1;0
1;0;27.67;1.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;0;0;0;1;0;1;0;368;0;1;0
0;1;39.83;0.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0.25;0;1;1;0;0;0;1;0;1;0;288;0;1;0
0;1;27.25;0.625;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.455;0;1;1;0;0;1;0;0;0;1;200;0;1;0
0;1;37.17;4;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;1;1;0;0;1;0;0;1;0;280;0;1;0
0;1;25.67;2.21;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;1;0;0;0;1;0;0;1;188;0;1;0
0;1;34;4.5;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;1;240;0;1;0
1;0;49;1.5;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;100;27;1;0
0;1;62.5;12.75;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;1;1;0;0;0;1;0;0;1;112;0;1;0
0;1;31.42;15.5;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.5;0;1;1;0;0;0;1;0;0;1;120;0;1;0
0;1;52.33;1.375;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9.46;0;1;1;0;0;1;0;0;0;1;200;100;1;0
0;1;28.75;1.5;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.5;0;1;1;0;0;1;0;0;0;1;0;225;1;0
1;0;28.58;3.54;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.5;0;1;1;0;0;1;0;0;0;1;171;0;1;0
0;1;23;0.625;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.125;0;1;1;0;0;0;1;0;0;1;180;1;1;0
1;0;22.5;11;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;1;1;0;0;1;0;0;0;1;268;0;1;0
1;0;28.5;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;1;0;0;0;1;167;500;1;0
0;1;37.5;1.75;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.25;0;1;1;0;0;1;0;0;0;1;164;400;1;0
0;1;35.25;16.5;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;1;0;0;0;1;0;0;1;80;0;1;0
0;1;18.67;5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0.375;0;1;0;1;2;0;1;0;0;1;0;38;1;0
0;1;25;12;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.25;0;1;0;1;2;1;0;0;0;1;120;5;1;0
0;1;27.83;4;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5.75;0;1;0;1;2;1;0;0;0;1;75;0;1;0
0;1;54.83;15.5;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;20;0;1;0;0;1;152;130;1;0
0;1;28.75;1.165;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.5;0;1;1;0;0;0;1;0;1;0;280;0;1;0
1;0;25;11;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4.5;0;1;1;0;0;0;1;0;0;1;120;0;1;0
0;1;40.92;2.25;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;1;1;0;0;1;0;0;0;1;176;0;1;0
1;0;19.75;0.75;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.795;0;1;0;1;5;1;0;0;0;1;140;5;1;0
0;1;29.17;3.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3.5;0;1;0;1;3;1;0;0;0;1;329;0;1;0
1;0;24.5;1.04;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.5;0;1;0;1;3;0;1;0;0;1;180;147;1;0
0;1;24.58;12.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0.875;0;1;1;0;0;1;0;0;0;1;260;0;1;0
1;0;33.75;0.75;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;3;1;0;0;0;1;212;0;1;0
0;1;20.67;1.25;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1.375;0;1;0;1;3;1;0;0;0;1;140;210;1;0
1;0;25.42;1.125;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1.29;0;1;0;1;2;0;1;0;0;1;200;0;1;0
0;1;37.75;7;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;11.5;0;1;0;1;7;1;0;0;0;1;300;5;1;0
0;1;52.5;6.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6.29;0;1;0;1;15;0;1;0;0;1;0;11202;0;1
0;1;57.83;7.04;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;14;0;1;0;1;6;1;0;0;0;1;360;1332;0;1
1;0;20.75;10.335;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0.335;0;1;0;1;1;1;0;0;0;1;80;50;0;1
0;1;39.92;6.21;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0.04;0;1;0;1;1;0;1;0;0;1;200;300;0;1
0;1;25.67;12.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1.21;0;1;0;1;67;1;0;0;0;1;140;258;0;1
1;0;24.75;12.5;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.5;0;1;0;1;12;1;0;0;0;1;120;567;0;1
1;0;44.17;6.665;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;7.375;0;1;0;1;3;1;0;0;0;1;0;0;0;1
1;0;23.5;9;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;8.5;0;1;0;1;5;1;0;0;0;1;120;0;0;1
0;1;34.92;5;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7.5;0;1;0;1;6;1;0;0;0;1;0;1000;0;1
0;1;47.67;2.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2.5;0;1;0;1;12;1;0;0;0;1;410;2510;0;1
0;1;22.75;11;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2.5;0;1;0;1;7;1;0;0;0;1;100;809;0;1
0;1;34.42;4.25;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.25;0;1;0;1;2;0;1;0;0;1;274;610;0;1
1;0;28.42;3.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0.835;0;1;1;0;0;0;1;0;1;0;280;0;0;1
0;1;67.75;5.5;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13;0;1;0;1;1;1;0;0;0;1;0;0;0;1
0;1;20.42;1.835;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.25;0;1;0;1;1;0;1;0;0;1;100;150;0;1
1;0;47.42;8;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6.5;0;1;0;1;6;0;1;0;0;1;375;51100;0;1
0;1;36.25;5;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.5;0;1;0;1;6;0;1;0;0;1;0;367;0;1
0;1;32.67;5.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;5.5;0;1;0;1;12;1;0;0;0;1;408;1000;0;1
0;1;48.58;6.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;6;0;1;1;0;0;1;0;0;0;1;350;0;0;1
0;1;39.92;0.54;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.5;0;1;0;1;3;0;1;0;0;1;200;1000;0;1
