Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Age
0.61,0.48,0.165,1.244,0.6345,0.257,0.305,13.5
0.645,0.51,0.155,1.5390000000000001,0.6405,0.3585,0.43,12.5
0.535,0.415,0.17,0.879,0.295,0.1965,0.285,11.5
0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,11.5
0.68,0.54,0.155,1.534,0.6709999999999999,0.379,0.384,11.5
0.59,0.485,0.205,1.2315,0.4525,0.23800000000000002,0.42,14.5
0.56,0.44,0.14,0.971,0.44299999999999995,0.2045,0.265,15.5
0.65,0.545,0.16,1.2425,0.48700000000000004,0.29600000000000004,0.48,16.5
0.44,0.375,0.13,0.48700000000000004,0.226,0.0965,0.155,10.5
0.535,0.4,0.15,1.224,0.618,0.275,0.2875,11.5
0.585,0.45,0.125,0.8740000000000001,0.3545,0.2075,0.225,7.5
0.545,0.425,0.135,0.8445,0.373,0.21,0.235,11.5
0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,13.5
0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,10.5
0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,11.5
0.605,0.5,0.175,1.0979999999999999,0.4765,0.23199999999999998,0.375,13.5
0.57,0.45,0.155,1.1935,0.513,0.21,0.34299999999999997,11.5
0.74,0.6,0.195,1.974,0.598,0.4085,0.71,17.5
0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,10.5
0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,10.5
0.64,0.49,0.155,1.1285,0.47700000000000004,0.26899999999999996,0.34,10.5
0.62,0.485,0.165,1.166,0.483,0.23800000000000002,0.355,14.5
0.54,0.42,0.14,0.8035,0.38,0.1805,0.21,10.5
0.58,0.46,0.13,0.9209999999999999,0.35700000000000004,0.18100000000000002,0.29,14.5
0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,8.5
0.51,0.39,0.135,0.6335,0.231,0.179,0.2,10.5
0.545,0.44,0.14,0.8395,0.35600000000000004,0.1905,0.2385,12.5
0.585,0.465,0.165,0.885,0.4025,0.1625,0.27399999999999997,11.5
0.615,0.455,0.145,1.1155,0.5045,0.23800000000000002,0.315,11.5
0.525,0.435,0.155,1.065,0.486,0.233,0.285,9.5
0.58,0.46,0.15,1.0165,0.491,0.221,0.265,10.5
0.515,0.425,0.135,0.7120000000000001,0.2665,0.1605,0.25,12.5
0.42,0.34,0.115,0.4215,0.175,0.09300000000000001,0.135,9.5
0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,12.5
0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,10.5
0.53,0.43,0.17,0.775,0.35,0.152,0.235,18.5
0.475,0.38,0.135,0.486,0.1735,0.07,0.185,8.5
0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,13.5
0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,13.5
0.645,0.5,0.2,1.4285,0.639,0.305,0.36,12.5
0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,19.5
0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,10.5
0.655,0.52,0.2,1.5475,0.713,0.314,0.466,10.5
0.66,0.51,0.18,1.261,0.5,0.2335,0.33899999999999997,11.5
0.635,0.51,0.17,1.2235,0.532,0.271,0.354,10.5
0.66,0.5,0.165,1.3195,0.667,0.26899999999999996,0.341,10.5
0.6,0.46,0.155,0.9735,0.42700000000000005,0.2045,0.3,9.5
0.585,0.415,0.155,0.6985,0.3,0.146,0.195,13.5
0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,10.5
0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,15.5
0.425,0.34,0.12,0.38799999999999996,0.149,0.087,0.125,11.5
0.49,0.42,0.125,0.609,0.239,0.1435,0.22,15.5
0.6,0.495,0.185,1.1145,0.5055,0.2635,0.36700000000000005,12.5
0.485,0.4,0.135,0.6629999999999999,0.313,0.13699999999999998,0.2,11.5
0.45,0.335,0.14,0.478,0.1865,0.115,0.16,12.5
0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,10.5
0.64,0.505,0.19,1.2765,0.4835,0.32799999999999996,0.4,13.5
0.545,0.445,0.175,0.8525,0.3465,0.18899999999999997,0.295,14.5
0.64,0.475,0.175,1.1545,0.4865,0.341,0.28800000000000003,10.5
0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,12.5
0.47,0.375,0.105,0.513,0.23199999999999998,0.142,0.13,12.5
0.45,0.36,0.16,0.5670000000000001,0.174,0.1245,0.225,13.5
0.63,0.49,0.225,1.3359999999999999,0.6805,0.259,0.3245,11.5
0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,14.5
0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,8.5
0.645,0.5,0.155,1.2205,0.6145,0.23600000000000002,0.3185,11.5
0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,9.5
0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,11.5
0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,7.5
0.615,0.48,0.175,1.1179999999999999,0.446,0.3195,0.3,10.5
0.475,0.395,0.135,0.5920000000000001,0.2465,0.1645,0.2,14.5
0.465,0.36,0.08,0.488,0.191,0.125,0.155,12.5
0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,11.5
0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,9.5
0.56,0.425,0.125,0.932,0.361,0.213,0.335,10.5
0.465,0.35,0.13,0.494,0.1945,0.10300000000000001,0.155,19.5
0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,12.5
0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,10.5
0.52,0.4,0.13,0.6245,0.215,0.2065,0.17,16.5
0.64,0.505,0.155,1.1955,0.5565,0.21100000000000002,0.34600000000000003,12.5
0.575,0.47,0.165,0.853,0.292,0.179,0.35,17.5
0.57,0.455,0.155,0.8320000000000001,0.3585,0.174,0.27699999999999997,12.5
0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,16.5
0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,13.5
0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,10.5
0.29,0.225,0.08,0.1295,0.0535,0.026000000000000002,0.045,11.5
0.63,0.455,0.15,1.1315,0.48100000000000004,0.2745,0.305,10.5
0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,11.5
0.525,0.4,0.155,0.7070000000000001,0.282,0.1605,0.225,10.5
0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,16.5
0.56,0.455,0.19,0.7140000000000001,0.28300000000000003,0.129,0.275,10.5
0.61,0.465,0.16,1.0725,0.4835,0.2515,0.28,11.5
0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,11.5
0.66,0.525,0.205,1.3665,0.5005,0.29100000000000004,0.41,19.5
0.555,0.435,0.145,0.9205,0.40399999999999997,0.2275,0.255,9.5
0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,8.5
0.65,0.51,0.175,1.3165,0.6345,0.2605,0.364,13.5
0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,12.5
0.53,0.41,0.145,0.8255,0.375,0.204,0.245,10.5
0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,12.5
0.635,0.475,0.15,1.1845,0.5329999999999999,0.307,0.29100000000000004,11.5
0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,12.5
0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,9.5
0.685,0.55,0.2,1.7725,0.813,0.387,0.49,12.5
0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,13.5
0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,11.5
0.725,0.6,0.2,1.7369999999999999,0.6970000000000001,0.3585,0.595,12.5
0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,18.5
0.45,0.36,0.125,0.5065,0.222,0.105,0.16,11.5
0.42,0.34,0.125,0.4495,0.165,0.1125,0.14400000000000002,12.5
0.515,0.4,0.125,0.615,0.2865,0.12300000000000001,0.1765,9.5
0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,11.5
0.59,0.44,0.15,0.8725,0.387,0.215,0.245,9.5
0.46,0.34,0.135,0.495,0.1655,0.11699999999999999,0.185,11.5
0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,28.5
0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,12.5
0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,11.5
0.575,0.44,0.16,0.9615,0.483,0.166,0.275,14.5
0.455,0.365,0.095,0.514,0.2245,0.10099999999999999,0.15,16.5
0.67,0.54,0.2,1.46,0.6435,0.32799999999999996,0.4165,10.5
0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,10.5
0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,7.5
0.45,0.32,0.1,0.381,0.1705,0.075,0.115,10.5
0.575,0.445,0.17,1.0225,0.5489999999999999,0.2175,0.228,10.5
0.635,0.525,0.18,1.3695,0.634,0.318,0.363,12.5
0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,12.5
0.61,0.5,0.24,1.642,0.532,0.3345,0.69,19.5
0.51,0.395,0.145,0.6185,0.21600000000000003,0.1385,0.24,13.5
0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,9.5
0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,12.5
0.625,0.49,0.155,1.115,0.484,0.27699999999999997,0.3095,10.5
0.6,0.45,0.14,0.8690000000000001,0.3425,0.195,0.29100000000000004,12.5
0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,11.5
0.545,0.43,0.165,0.802,0.2935,0.183,0.28,12.5
0.525,0.405,0.135,0.7575,0.3305,0.21600000000000003,0.195,11.5
0.53,0.4,0.125,0.7575,0.39799999999999996,0.151,0.175,9.5
0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,10.5
0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,9.5
0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,9.5
0.58,0.455,0.16,0.9215,0.312,0.196,0.3,18.5
0.645,0.49,0.16,1.1440000000000001,0.5015,0.289,0.319,9.5
0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,15.5
0.485,0.39,0.085,0.6435,0.2945,0.10300000000000001,0.198,9.5
0.65,0.51,0.19,1.5419999999999998,0.7155,0.3735,0.375,10.5
0.55,0.46,0.175,0.8690000000000001,0.3155,0.1825,0.32,11.5
0.535,0.44,0.15,0.6765,0.256,0.139,0.26,13.5
0.675,0.53,0.195,1.4985,0.62,0.375,0.425,10.5
0.35,0.265,0.09,0.19699999999999998,0.073,0.0365,0.077,8.5
0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,19.5
0.385,0.255,0.1,0.3175,0.13699999999999998,0.068,0.092,9.5
0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,11.5
0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,19.5
0.55,0.45,0.15,1.0145,0.40700000000000003,0.2015,0.2875,11.5
0.67,0.585,0.16,1.3090000000000002,0.5445,0.2945,0.413,11.5
0.55,0.43,0.14,0.8105,0.368,0.161,0.275,10.5
0.585,0.46,0.165,1.058,0.486,0.25,0.294,10.5
0.6,0.5,0.17,1.13,0.4405,0.267,0.335,12.5
0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,13.5
0.575,0.45,0.12,0.9585,0.447,0.16899999999999998,0.275,13.5
0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,11.5
0.67,0.54,0.165,1.5015,0.518,0.358,0.505,15.5
0.615,0.495,0.155,1.0805,0.52,0.19,0.32,10.5
0.48,0.375,0.12,0.5895,0.2535,0.128,0.172,12.5
0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,9.5
0.555,0.445,0.175,1.1465,0.551,0.244,0.2785,9.5
0.63,0.51,0.23,1.5390000000000001,0.5635,0.2815,0.57,18.5
0.68,0.52,0.195,1.4535,0.5920000000000001,0.391,0.4125,11.5
0.645,0.515,0.15,1.212,0.515,0.2055,0.385,11.5
0.505,0.375,0.115,0.5895,0.2635,0.12,0.16699999999999998,11.5
0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,10.5
0.535,0.405,0.175,1.2705,0.5479999999999999,0.3265,0.337,14.5
0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,14.5
0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,11.5
0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,11.5
0.625,0.47,0.15,1.124,0.556,0.2315,0.287,10.5
0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,11.5
0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,11.5
0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,13.5
0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,10.5
0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,14.5
0.565,0.45,0.165,0.9765,0.322,0.244,0.37,13.5
0.585,0.475,0.12,0.945,0.41,0.2115,0.28,15.5
0.605,0.475,0.14,1.1175,0.555,0.257,0.27399999999999997,10.5
0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,10.5
0.655,0.52,0.18,1.492,0.7185,0.36,0.355,12.5
0.65,0.545,0.23,1.7519999999999998,0.5605,0.2895,0.815,17.5
0.41,0.315,0.095,0.306,0.121,0.0735,0.09,10.5
0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,10.5
0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,11.5
0.485,0.365,0.15,0.9145,0.4145,0.19899999999999998,0.273,8.5
0.52,0.46,0.15,1.0190000000000001,0.523,0.1985,0.254,8.5
0.555,0.435,0.165,0.97,0.336,0.2315,0.295,18.5
0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,5.5
0.595,0.49,0.185,1.185,0.48200000000000004,0.2015,0.361,11.5
0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,10.5
0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,10.5
0.625,0.5,0.165,1.288,0.573,0.3035,0.315,10.5
0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,18.5
0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,12.5
0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,19.5
0.735,0.565,0.205,2.1275,0.9490000000000001,0.46,0.565,13.5
0.45,0.33,0.105,0.4955,0.2575,0.08199999999999999,0.129,9.5
0.61,0.365,0.155,1.0765,0.488,0.249,0.27,10.5
0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,10.5
0.62,0.49,0.15,1.195,0.4605,0.302,0.355,10.5
0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,10.5
0.75,0.565,0.215,1.9380000000000002,0.7735,0.4825,0.575,12.5
0.515,0.39,0.14,0.6779999999999999,0.341,0.1325,0.11900000000000001,9.5
0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,12.5
0.6,0.505,0.19,1.129,0.4385,0.256,0.36,14.5
0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,12.5
0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,15.5
0.735,0.59,0.225,1.756,0.637,0.3405,0.58,22.5
0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,21.5
0.625,0.485,0.175,1.3619999999999999,0.6765,0.2615,0.3705,11.5
0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,16.5
0.555,0.405,0.12,0.9129999999999999,0.4585,0.196,0.2065,10.5
0.36,0.295,0.105,0.24100000000000002,0.0865,0.053,0.095,9.5
0.555,0.405,0.19,1.406,0.6115,0.342,0.389,11.5
0.655,0.5,0.22,1.359,0.642,0.3255,0.405,14.5
0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,10.5
0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,11.5
0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344,11.5
0.5,0.38,0.155,0.655,0.2405,0.14300000000000002,0.205,18.5
0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,12.5
0.58,0.475,0.15,0.97,0.385,0.2165,0.35,12.5
0.475,0.36,0.14,0.5135,0.24100000000000002,0.1045,0.155,9.5
0.635,0.5,0.18,1.1540000000000001,0.4405,0.2315,0.387,10.5
0.575,0.46,0.15,0.927,0.33299999999999996,0.207,0.2985,10.5
0.66,0.485,0.155,1.2275,0.61,0.27399999999999997,0.3,9.5
0.515,0.395,0.12,0.6459999999999999,0.285,0.1365,0.172,10.5
0.59,0.5,0.2,1.187,0.41200000000000003,0.2705,0.37,17.5
0.395,0.295,0.095,0.2245,0.078,0.054000000000000006,0.08,11.5
0.64,0.51,0.165,1.486,0.7595,0.332,0.321,9.5
0.515,0.405,0.145,0.695,0.215,0.1635,0.23399999999999999,16.5
0.455,0.345,0.125,0.44,0.16899999999999998,0.1065,0.135,13.5
0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,8.5
0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,19.5
0.67,0.55,0.155,1.5659999999999998,0.858,0.33899999999999997,0.354,11.5
0.64,0.51,0.175,1.368,0.515,0.266,0.57,22.5
0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,10.5
0.685,0.53,0.17,1.56,0.647,0.38299999999999995,0.465,12.5
0.575,0.45,0.16,0.955,0.44,0.1685,0.27,17.5
0.48,0.38,0.135,0.528,0.2,0.1395,0.16,15.5
0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,11.5
0.655,0.54,0.215,1.844,0.7425,0.327,0.585,23.5
0.61,0.48,0.175,1.0675,0.391,0.21600000000000003,0.42,16.5
0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285,12.5
0.72,0.575,0.215,2.226,0.8955,0.405,0.62,14.5
0.475,0.37,0.125,0.537,0.222,0.1215,0.15,10.5
0.55,0.38,0.165,1.205,0.5429999999999999,0.294,0.3345,11.5
0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,12.5
0.6,0.47,0.155,1.036,0.4375,0.196,0.325,21.5
0.595,0.44,0.135,0.9640000000000001,0.5005,0.1715,0.2575,11.5
0.28,0.21,0.08,0.1085,0.040999999999999995,0.0265,0.0345,8.5
0.61,0.485,0.165,1.087,0.4255,0.23199999999999998,0.38,12.5
0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,10.5
0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,13.5
0.57,0.45,0.17,1.0979999999999999,0.414,0.187,0.405,21.5
0.465,0.375,0.11,0.5,0.21,0.113,0.1505,9.5
0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,10.5
0.645,0.5,0.175,1.3385,0.633,0.299,0.349,12.5
0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075,11.5
0.675,0.55,0.175,1.689,0.6940000000000001,0.371,0.474,14.5
0.53,0.42,0.135,0.675,0.294,0.156,0.1825,11.5
0.6,0.48,0.15,1.0290000000000001,0.4085,0.2705,0.295,17.5
0.525,0.425,0.12,0.8665,0.2825,0.17600000000000002,0.29,19.5
0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,12.5
0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,11.5
0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,10.5
0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,21.5
0.505,0.365,0.115,0.521,0.25,0.096,0.15,9.5
0.61,0.46,0.155,0.9570000000000001,0.4255,0.1975,0.265,9.5
0.58,0.455,0.12,0.94,0.39899999999999997,0.257,0.265,12.5
0.38,0.235,0.1,0.258,0.1055,0.054000000000000006,0.08,8.5
0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,26.5
0.62,0.475,0.185,1.325,0.6045,0.325,0.33,14.5
0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299,10.5
0.55,0.435,0.16,0.9059999999999999,0.342,0.21899999999999997,0.295,14.5
0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,15.5
0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,10.5
0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,12.5
0.635,0.48,0.19,1.4669999999999999,0.5825,0.303,0.42,16.5
0.72,0.565,0.2,2.1055,1.0170000000000001,0.363,0.494,13.5
0.48,0.39,0.125,0.6905,0.21899999999999997,0.155,0.2,13.5
0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,9.5
0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285,12.5
0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,11.5
0.435,0.325,0.115,0.3915,0.154,0.094,0.12,8.5
0.625,0.47,0.17,1.255,0.525,0.2415,0.405,11.5
0.625,0.515,0.16,1.264,0.5715,0.326,0.321,10.5
0.46,0.365,0.115,0.4485,0.165,0.083,0.17,15.5
0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,9.5
0.76,0.575,0.19,1.829,0.7035,0.386,0.56,15.5
0.69,0.53,0.21,1.5830000000000002,0.7355,0.405,0.3865,13.5
0.475,0.36,0.1,0.4285,0.1965,0.099,0.11199999999999999,8.5
0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,13.5
0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,14.5
0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,11.5
0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,14.5
0.6,0.485,0.165,1.1405,0.5870000000000001,0.2175,0.28800000000000003,10.5
0.58,0.46,0.18,1.145,0.48,0.27699999999999997,0.325,12.5
0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,11.5
0.64,0.49,0.14,1.194,0.4445,0.23800000000000002,0.375,16.5
0.635,0.51,0.155,1.156,0.428,0.289,0.315,19.5
0.585,0.51,0.16,1.218,0.639,0.24100000000000002,0.3,12.5
0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,16.5
0.645,0.505,0.165,1.307,0.4335,0.262,0.52,11.5
0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,12.5
0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,11.5
0.55,0.43,0.14,0.84,0.375,0.218,0.1945,9.5
0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,12.5
0.74,0.57,0.18,1.8725,0.9115,0.42700000000000005,0.446,11.5
0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,10.5
0.385,0.295,0.095,0.335,0.147,0.094,0.09,8.5
0.52,0.41,0.155,0.727,0.29100000000000004,0.1835,0.235,13.5
0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,9.5
0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,14.5
0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,11.5
0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,9.5
