Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Age
1,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,10.5
1,0.57,0.45,0.14,0.9275,0.47700000000000004,0.1605,0.2515,9.5
0,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,11.5
1,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,11.5
0,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,10.5
0,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,13.5
1,0.55,0.435,0.145,0.843,0.32799999999999996,0.1915,0.255,16.5
1,0.56,0.45,0.14,0.9,0.47200000000000003,0.182,0.218,8.5
1,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315,10.5
1,0.485,0.365,0.155,1.0290000000000001,0.4235,0.2285,0.313,9.5
1,0.66,0.535,0.2,1.791,0.733,0.318,0.54,16.5
1,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,9.5
0,0.515,0.425,0.14,0.7659999999999999,0.304,0.1725,0.255,15.5
1,0.61,0.45,0.15,0.871,0.40700000000000003,0.1835,0.25,11.5
0,0.655,0.54,0.215,1.5555,0.695,0.29600000000000004,0.444,12.5
0,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,19.5
0,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,19.5
1,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,14.5
1,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,7.5
0,0.635,0.5,0.19,1.29,0.593,0.3045,0.35200000000000004,9.5
1,0.44,0.335,0.11,0.39399999999999996,0.157,0.096,0.122,10.5
0,0.725,0.58,0.185,1.5230000000000001,0.8045,0.3595,0.4375,10.5
1,0.59,0.47,0.15,0.9955,0.48100000000000004,0.23199999999999998,0.24,9.5
1,0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,10.5
0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,11.5
0,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,12.5
1,0.665,0.52,0.175,1.3725,0.606,0.32,0.395,13.5
1,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,10.5
0,0.635,0.51,0.185,1.286,0.526,0.295,0.4105,13.5
1,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,18.5
0,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,11.5
0,0.55,0.425,0.125,0.9640000000000001,0.5475,0.159,0.215,9.5
0,0.635,0.52,0.165,1.3405,0.5065,0.29600000000000004,0.41200000000000003,12.5
1,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.18600000000000003,8.5
0,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,13.5
1,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,11.5
1,0.505,0.39,0.105,0.6555,0.2595,0.18,0.19,12.5
1,0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,11.5
0,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,11.5
1,0.575,0.46,0.155,0.892,0.4415,0.17600000000000002,0.22,11.5
0,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,13.5
1,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,9.5
1,0.645,0.5,0.16,1.3815,0.672,0.326,0.315,10.5
1,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,11.5
1,0.735,0.585,0.185,2.124,0.9520000000000001,0.55,0.5,12.5
1,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,16.5
1,0.575,0.45,0.155,0.8859999999999999,0.3605,0.21100000000000002,0.2575,10.5
1,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,9.5
0,0.435,0.325,0.11,0.4335,0.17800000000000002,0.0985,0.155,8.5
1,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,16.5
1,0.335,0.265,0.105,0.222,0.0935,0.055999999999999994,0.075,8.5
0,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,13.5
1,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,8.5
0,0.62,0.5,0.15,1.2930000000000001,0.596,0.3135,0.354,11.5
0,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,14.5
0,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,18.5
1,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,12.5
1,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,11.5
0,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,8.5
0,0.55,0.43,0.14,0.7135,0.2565,0.18600000000000003,0.225,10.5
1,0.315,0.25,0.09,0.203,0.0615,0.037000000000000005,0.0795,12.5
0,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,12.5
1,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,13.5
1,0.535,0.42,0.125,0.764,0.312,0.1505,0.265,12.5
1,0.6,0.41,0.145,0.9390000000000001,0.4475,0.196,0.268,9.5
1,0.575,0.425,0.14,0.8635,0.39299999999999996,0.22699999999999998,0.2,12.5
1,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,11.5
0,0.615,0.525,0.155,1.0385,0.42700000000000005,0.2315,0.345,12.5
0,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,15.5
1,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,11.5
1,0.38,0.27,0.095,0.21899999999999997,0.0835,0.0515,0.07,7.5
1,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155,7.5
0,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,10.5
1,0.65,0.525,0.19,1.3685,0.5975,0.29600000000000004,0.4,12.5
0,0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,13.5
1,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215,10.5
1,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,10.5
1,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,9.5
0,0.525,0.41,0.15,0.708,0.27399999999999997,0.151,0.25,13.5
0,0.385,0.315,0.11,0.28600000000000003,0.1225,0.0635,0.0835,11.5
1,0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47,11.5
1,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,12.5
1,0.585,0.43,0.16,0.955,0.3625,0.17600000000000002,0.27,12.5
1,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,12.5
1,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975,10.5
0,0.575,0.465,0.195,0.9965,0.41700000000000004,0.247,0.47,9.5
1,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,9.5
0,0.39,0.29,0.125,0.3055,0.121,0.08199999999999999,0.09,8.5
1,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,11.5
0,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,9.5
1,0.51,0.41,0.155,1.2825,0.569,0.29100000000000004,0.3795,10.5
0,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,13.5
1,0.59,0.455,0.145,1.073,0.475,0.19,0.285,15.5
1,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,9.5
1,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,11.5
0,0.38,0.29,0.105,0.257,0.099,0.051,0.085,11.5
0,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,10.5
0,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.34700000000000003,11.5
1,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,12.5
1,0.595,0.47,0.155,1.2015,0.49200000000000005,0.3865,0.265,11.5
1,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,11.5
1,0.605,0.49,0.18,1.227,0.48,0.287,0.35,19.5
1,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,9.5
0,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,10.5
0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,16.5
0,0.56,0.46,0.18,0.97,0.342,0.196,0.355,13.5
1,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,10.5
0,0.745,0.585,0.19,1.966,0.8435,0.43700000000000006,0.5855,19.5
1,0.555,0.45,0.145,0.915,0.4,0.24600000000000002,0.285,12.5
0,0.48,0.385,0.135,0.536,0.1895,0.142,0.17300000000000001,15.5
1,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,9.5
1,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,8.5
0,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,12.5
0,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,11.5
1,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,15.5
0,0.52,0.405,0.145,0.8290000000000001,0.3535,0.1685,0.205,16.5
0,0.57,0.43,0.16,0.8109999999999999,0.3875,0.159,0.2285,10.5
1,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,16.5
0,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,11.5
0,0.615,0.455,0.135,1.0590000000000002,0.4735,0.263,0.27399999999999997,10.5
1,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,11.5
1,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,11.5
0,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,10.5
1,0.325,0.23,0.09,0.147,0.06,0.034,0.045,5.5
1,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,11.5
0,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,13.5
1,0.535,0.405,0.14,0.818,0.402,0.1715,0.18899999999999997,8.5
1,0.65,0.515,0.125,1.1805,0.5235,0.28300000000000003,0.3275,10.5
1,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,10.5
0,0.565,0.45,0.165,0.887,0.37,0.239,0.249,12.5
0,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,17.5
1,0.605,0.475,0.16,1.6159999999999999,0.5495,0.332,0.34,19.5
1,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,10.5
1,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,12.5
1,0.565,0.43,0.15,0.831,0.4245,0.1735,0.21899999999999997,11.5
0,0.65,0.51,0.155,1.189,0.483,0.278,0.3645,14.5
1,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,12.5
0,0.57,0.445,0.145,0.8775,0.41200000000000003,0.217,0.22,9.5
0,0.605,0.46,0.17,1.122,0.34700000000000003,0.3045,0.315,14.5
1,0.59,0.445,0.14,0.9309999999999999,0.35600000000000004,0.23399999999999999,0.28,13.5
1,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,10.5
1,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,15.5
0,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,13.5
1,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,12.5
1,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,19.5
0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,6.5
1,0.44,0.325,0.08,0.413,0.14400000000000002,0.1015,0.13,9.5
1,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,6.5
0,0.55,0.45,0.15,0.875,0.36200000000000004,0.1755,0.2765,11.5
0,0.62,0.485,0.155,1.1945,0.5105,0.271,0.35200000000000004,10.5
1,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365,11.5
1,0.615,0.47,0.15,1.0875,0.4975,0.28300000000000003,0.2685,10.5
0,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,10.5
0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,11.5
1,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,11.5
1,0.62,0.46,0.17,1.127,0.535,0.2635,0.29600000000000004,8.5
1,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,12.5
0,0.66,0.53,0.17,1.3259999999999998,0.519,0.2625,0.44,14.5
0,0.675,0.525,0.17,1.7109999999999999,0.8365,0.35200000000000004,0.475,10.5
0,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,14.5
0,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,13.5
0,0.51,0.4,0.14,0.8145,0.45899999999999996,0.1965,0.195,11.5
0,0.61,0.43,0.14,0.909,0.43799999999999994,0.2,0.22,9.5
1,0.6,0.465,0.2,1.2590000000000001,0.6405,0.1985,0.35700000000000004,10.5
0,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,11.5
0,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,12.5
0,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,15.5
1,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,16.5
1,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,9.5
1,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,10.5
1,0.605,0.475,0.175,1.2525,0.5575,0.3055,0.34299999999999997,10.5
1,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,9.5
1,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,15.5
0,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,9.5
0,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,11.5
1,0.575,0.445,0.16,0.8390000000000001,0.4005,0.198,0.239,10.5
0,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,12.5
1,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,11.5
1,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,10.5
0,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,9.5
0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,20.5
1,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,11.5
1,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,13.5
1,0.6,0.47,0.15,0.9279999999999999,0.4225,0.183,0.275,9.5
1,0.645,0.495,0.19,1.5390000000000001,0.6115,0.408,0.445,13.5
1,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,9.5
0,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,8.5
1,0.63,0.515,0.175,1.1955,0.49200000000000005,0.247,0.37,12.5
1,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,8.5
0,0.705,0.53,0.17,1.564,0.612,0.39399999999999996,0.44,11.5
0,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,12.5
1,0.56,0.425,0.135,0.8490000000000001,0.3265,0.221,0.2645,11.5
1,0.525,0.4,0.14,0.7325,0.33399999999999996,0.1575,0.17,12.5
1,0.46,0.35,0.12,0.515,0.22399999999999998,0.10800000000000001,0.1565,11.5
0,0.58,0.46,0.185,1.0170000000000001,0.3515,0.2,0.32,11.5
0,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,10.5
1,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,15.5
1,0.655,0.505,0.165,1.27,0.6035,0.262,0.335,11.5
0,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,13.5
0,0.63,0.485,0.185,1.167,0.5479999999999999,0.2485,0.34,11.5
1,0.54,0.42,0.12,0.8115,0.392,0.1455,0.2235,10.5
0,0.53,0.41,0.165,0.8115,0.24,0.16899999999999998,0.24,20.5
0,0.61,0.47,0.16,1.0170000000000001,0.426,0.2255,0.32,13.5
1,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,14.5
1,0.605,0.475,0.15,1.15,0.575,0.23199999999999998,0.297,11.5
0,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,10.5
0,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,12.5
1,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,9.5
1,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,16.5
0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,17.5
0,0.595,0.495,0.235,1.3659999999999999,0.5065,0.21899999999999997,0.52,14.5
0,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,18.5
0,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,16.5
0,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,16.5
1,0.575,0.445,0.145,0.8759999999999999,0.3795,0.1615,0.27,11.5
1,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,17.5
1,0.535,0.435,0.14,0.8740000000000001,0.3735,0.22899999999999998,0.2195,9.5
1,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,10.5
1,0.63,0.48,0.185,1.21,0.53,0.2555,0.322,12.5
0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,30.5
0,0.47,0.36,0.13,0.47200000000000003,0.182,0.114,0.15,11.5
1,0.585,0.455,0.125,1.0270000000000001,0.391,0.212,0.25,18.5
1,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,17.5
0,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,10.5
0,0.65,0.59,0.22,1.662,0.77,0.37799999999999995,0.435,12.5
0,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,11.5
1,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,19.5
1,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,11.5
1,0.605,0.48,0.17,1.1835,0.5820000000000001,0.2365,0.317,11.5
0,0.585,0.465,0.14,0.9079999999999999,0.381,0.1615,0.315,14.5
1,0.62,0.47,0.15,1.3090000000000002,0.5870000000000001,0.4405,0.325,10.5
1,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,19.5
1,0.62,0.495,0.195,1.5145,0.579,0.34600000000000003,0.5195,16.5
1,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475,10.5
0,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,16.5
1,0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,12.5
0,0.47,0.35,0.115,0.48700000000000004,0.1955,0.127,0.155,9.5
0,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,11.5
0,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,8.5
1,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,12.5
1,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,13.5
0,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,10.5
0,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,12.5
1,0.455,0.35,0.105,0.41600000000000004,0.1625,0.09699999999999999,0.145,12.5
1,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,11.5
1,0.52,0.41,0.115,0.77,0.263,0.157,0.26,12.5
1,0.64,0.495,0.165,1.307,0.6779999999999999,0.292,0.266,12.5
0,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,12.5
1,0.665,0.505,0.16,1.2890000000000001,0.6145,0.253,0.3665,12.5
1,0.525,0.425,0.19,0.872,0.4625,0.1725,0.19899999999999998,10.5
0,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,17.5
1,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,8.5
0,0.44,0.34,0.14,0.48200000000000004,0.18600000000000003,0.1085,0.16,10.5
1,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,11.5
0,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,12.5
0,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,16.5
0,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,9.5
1,0.515,0.39,0.155,0.7125,0.3695,0.13699999999999998,0.155,8.5
0,0.69,0.535,0.185,1.8259999999999998,0.797,0.409,0.499,12.5
0,0.49,0.37,0.105,0.5265,0.249,0.1005,0.14800000000000002,8.5
0,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,9.5
1,0.735,0.59,0.205,2.0869999999999997,0.909,0.474,0.625,13.5
1,0.585,0.47,0.165,1.409,0.8,0.22899999999999998,0.295,11.5
0,0.595,0.45,0.165,1.081,0.49,0.2525,0.27899999999999997,13.5
0,0.645,0.52,0.19,1.3105,0.58,0.28800000000000003,0.37,13.5
1,0.27,0.2,0.08,0.1205,0.0465,0.027999999999999997,0.04,7.5
1,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,6.5
0,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,16.5
1,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,10.5
0,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,10.5
1,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,16.5
1,0.67,0.5,0.19,1.5190000000000001,0.616,0.38799999999999996,0.415,11.5
0,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,9.5
0,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,17.5
0,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,13.5
0,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,12.5
0,0.62,0.5,0.175,1.146,0.47700000000000004,0.23,0.39,14.5
1,0.45,0.335,0.14,0.4625,0.16399999999999998,0.076,0.15,15.5
0,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,14.5
1,0.415,0.315,0.12,0.4015,0.19899999999999998,0.087,0.09699999999999999,9.5
1,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,16.5
1,0.5,0.39,0.125,0.5215,0.2485,0.11699999999999999,0.131,7.5
0,0.645,0.505,0.165,1.318,0.55,0.3015,0.335,12.5
1,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,14.5
1,0.5,0.38,0.12,0.5765,0.273,0.135,0.145,10.5
1,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,7.5
1,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,10.5
0,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,11.5
0,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,8.5
0,0.725,0.56,0.185,1.7919999999999998,0.873,0.36700000000000005,0.435,12.5
0,0.58,0.445,0.135,0.95,0.484,0.182,0.2325,9.5
0,0.62,0.51,0.175,1.1255,0.4985,0.22699999999999998,0.315,15.5
1,0.605,0.475,0.19,1.1255,0.59,0.247,0.26,11.5
1,0.61,0.475,0.165,1.1159999999999999,0.428,0.2205,0.315,16.5
0,0.625,0.49,0.145,0.92,0.43700000000000006,0.1735,0.28,11.5
0,0.62,0.475,0.15,0.9545,0.455,0.1865,0.27699999999999997,10.5
0,0.47,0.375,0.125,0.5615,0.252,0.13699999999999998,0.18,11.5
0,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,10.5
1,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,11.5
0,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,10.5
0,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,11.5
0,0.585,0.475,0.165,1.053,0.45799999999999996,0.217,0.3,12.5
0,0.55,0.47,0.15,0.897,0.377,0.184,0.29,10.5
0,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,9.5
0,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,11.5
1,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,7.5
1,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,10.5
0,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,16.5
0,0.54,0.44,0.135,0.9590000000000001,0.2385,0.221,0.3,18.5
0,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,11.5
