fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
8.0,0.38,0.39,1.7,0.042,27.0,95.0,0.9915,3.13,0.56,11.0
6.3,0.15,0.28,5.1,0.045,41.0,150.0,0.9982,3.19,0.6,9.3
6.8,0.44,0.28,6.6,0.05,32.0,115.0,0.9932,2.94,0.55,10.8
6.6,0.31,0.32,7.1,0.044000000000000004,18.0,135.0,0.99482,3.25,0.58,10.3
8.4,0.335,0.47,6.2,0.03,64.0,79.0,0.98974,3.32,0.42,9.4
8.5,0.42,0.19,12.4,0.032,16.0,116.0,1.0005,3.2,0.53,9.9
6.0,0.56,0.28,1.3,0.03,44.5,191.0,0.993,3.21,0.5,9.5
7.1,0.36,0.34,8.3,0.047,30.0,90.0,0.9917,2.93,0.35,12.2
6.2,0.2,0.29,2.1,0.028999999999999998,30.0,73.0,0.9919,3.21,0.52,9.8
6.7,0.3,0.33,2.8,0.042,17.0,99.0,0.9956,3.17,0.28,12.5
6.0,0.22,0.27,31.6,0.044000000000000004,44.0,113.0,0.9959600000000001,3.02,0.5,9.5
5.4,0.31,0.3,2.7,0.043,20.0,122.0,0.998,3.12,0.37,8.8
6.1,0.17,0.15,1.4,0.132,67.0,104.0,0.9909,3.24,0.33,9.3
6.6,0.24,0.27,6.1,0.044000000000000004,27.0,136.0,0.9914,2.85,0.76,11.4
6.8,0.36,0.29,16.6,0.038,29.0,112.0,0.998,3.14,0.5,9.3
9.6,0.26,0.29,1.0,0.035,57.0,79.0,0.98906,3.06,0.44,12.6
6.0,0.2,0.27,7.4,0.046,36.0,201.0,0.9978,3.18,0.5,9.4
6.5,0.35,0.28,1.8,0.086,54.0,148.0,0.9970399999999999,3.35,0.25,10.7
6.9,0.815,0.23,7.9,0.055,22.0,97.0,0.9949,3.18,0.35,10.7
5.9,0.13,0.37,4.2,0.045,60.0,154.0,0.9882299999999999,3.18,0.54,9.1
6.3,0.28,0.3,12.2,0.04,34.0,141.0,0.9923799999999999,3.42,0.59,9.1
6.9,0.24,0.38,14.9,0.028999999999999998,59.0,202.0,0.9907600000000001,3.35,0.46,9.3
6.4,0.2,0.3,1.1,0.042,58.0,193.0,0.99056,3.17,0.42,9.0
8.0,0.18,0.34,2.5,0.034,60.0,77.0,0.9976,3.14,0.39,11.4
6.6,0.13,0.31,8.2,0.034,32.0,169.0,0.9989600000000001,3.36,0.59,11.6
5.9,0.26,0.14,1.4,0.037000000000000005,9.0,192.0,0.9947299999999999,3.25,0.38,12.8
7.8,0.23,0.04,2.4,0.057,68.0,131.0,0.9909600000000001,3.36,0.69,10.8
6.4,0.32,0.54,4.6,0.042,31.0,97.0,0.9982,3.27,0.47,11.3
6.3,0.15,0.37,4.3,0.035,22.0,197.0,0.9924,3.23,0.51,13.4
8.2,0.37,0.4,9.3,0.057,17.0,124.0,0.99172,3.14,0.5,10.0
6.0,0.25,0.32,3.3,0.026000000000000002,35.0,150.0,0.99802,2.9,0.47,8.7
8.0,0.2,0.37,15.6,0.05,19.0,233.0,0.99077,3.24,0.4,12.4
8.0,0.32,0.32,3.5,0.047,31.0,196.0,0.9949,3.27,0.46,9.0
7.2,0.32,0.24,3.2,0.048,13.0,140.0,0.9986,3.19,0.53,12.0
7.5,0.31,1.0,0.9,0.045,28.0,153.0,0.9983,3.03,0.47,9.3
6.1,0.27,0.27,1.0,0.039,40.0,170.0,0.9966299999999999,3.13,0.56,8.8
5.2,0.56,0.3,1.2,0.024,49.0,113.0,0.99471,3.38,0.42,9.2
8.2,0.28,0.4,9.1,0.04,11.0,118.0,0.99,2.99,0.36,10.1
5.9,0.34,0.33,14.7,0.045,26.0,202.0,0.99508,3.08,0.46,11.9
6.3,0.22,0.07,16.9,0.071,51.0,183.0,0.9932,3.2,0.51,8.7
7.2,0.29,0.31,14.7,0.05,27.0,164.0,0.99916,3.37,0.38,9.2
6.1,0.35,0.49,12.85,0.048,49.0,214.0,0.9935200000000001,3.22,0.36,9.2
6.5,0.27,0.44,4.6,0.084,22.0,102.0,0.9967,3.27,0.52,9.8
8.1,0.25,0.3,4.4,0.055999999999999994,10.0,136.0,0.9905700000000001,3.11,0.62,9.4
6.9,0.26,0.41,12.8,0.036000000000000004,18.0,95.0,0.9896799999999999,3.64,0.38,11.5
6.2,0.21,0.22,15.6,0.015,26.0,119.0,0.9943,3.17,0.42,8.7
6.2,0.24,0.34,5.7,0.047,52.0,245.0,0.9980700000000001,3.0,0.38,10.8
6.6,0.24,0.29,2.0,0.046,26.0,76.0,0.99587,3.24,0.5,11.1
7.6,0.27,0.31,65.8,0.038,62.0,114.0,1.0006,3.16,0.46,10.2
6.9,0.26,0.27,17.8,0.036000000000000004,39.0,90.0,0.9961,3.15,0.74,11.6
7.4,0.29,0.26,10.4,0.239,31.0,200.0,0.99271,3.08,0.5,9.4
6.2,0.2,0.15,7.2,0.032,61.0,156.0,0.9963,3.14,0.59,11.9
6.6,0.12,0.47,1.2,0.033,25.0,184.0,0.98959,3.32,0.42,9.1
7.0,0.23,0.2,3.2,0.052000000000000005,42.0,116.0,0.98934,3.39,0.57,9.8
7.7,0.24,0.41,8.1,0.092,46.0,169.0,1.0103,3.14,0.42,9.7
7.0,0.22,0.5,9.7,0.038,34.0,151.0,0.998,3.1,0.39,10.1
7.6,0.23,0.26,9.7,0.046,41.0,142.0,0.99092,3.13,0.39,9.8
7.9,0.38,0.33,2.4,0.047,35.0,90.0,0.98987,3.2,0.54,10.0
6.1,0.37,0.15,9.6,0.034,30.0,134.0,0.99924,3.0,0.6,11.1
6.0,0.35,0.17,8.9,0.04,27.0,145.0,0.992,3.06,0.4,11.4
7.0,0.27,0.25,1.2,0.03,6.0,117.0,0.996,3.1,0.38,9.3
6.9,0.18,0.32,11.1,0.048,52.0,114.0,0.992,3.24,0.49,10.5
8.4,0.28,0.32,1.1,0.05,12.0,196.0,0.9979,3.17,0.59,10.1
8.1,0.22,0.24,1.8,0.04,37.0,84.0,0.9983,3.35,0.42,12.066666666666698
5.5,0.14,0.41,8.5,0.04,42.0,92.0,0.9935,3.05,0.51,9.3
7.3,0.33,0.24,10.4,0.036000000000000004,20.0,130.0,0.992,3.01,0.56,11.2
6.4,0.28,0.41,1.7,0.05,34.0,259.0,0.9918600000000001,2.93,0.38,10.0
6.5,0.2,0.25,2.5,0.096,40.0,158.0,0.99155,3.25,0.49,8.6
7.1,0.32,0.29,1.2,0.04,24.0,163.0,0.99365,3.03,0.31,10.8
6.0,0.32,0.22,0.9,0.034,11.0,170.0,0.99595,3.05,0.46,9.8
7.8,0.14,0.47,7.7,0.034,61.0,85.0,0.9964200000000001,3.31,0.59,9.8
5.9,0.2,0.09,3.1,0.049,61.0,135.0,0.99513,3.24,0.48,10.5
6.9,0.2,0.49,1.0,0.022000000000000002,42.0,114.0,0.9898600000000001,3.12,0.5,11.0
6.7,0.36,0.44,1.4,0.040999999999999995,43.0,85.0,0.9932200000000001,2.99,0.59,9.0
6.8,0.16,0.31,1.3,0.047,51.0,113.0,0.9898,3.24,0.44,10.9
5.6,0.21,0.49,1.0,0.035,33.0,145.0,0.99908,3.12,0.57,9.5
7.4,0.26,0.26,15.0,0.057999999999999996,26.0,128.0,0.9982,3.33,0.39,12.3
5.7,0.18,0.25,1.5,0.034,39.0,111.0,0.9983,3.26,0.5,12.2
6.8,0.32,0.28,1.2,0.044000000000000004,47.0,89.0,0.99126,3.44,0.37,9.1
7.3,0.2,0.42,1.3,0.044000000000000004,29.0,124.0,0.9905799999999999,3.1,0.67,8.6
7.9,0.23,0.42,11.2,0.03,35.0,102.0,0.9984,3.56,0.38,8.8
7.6,0.15,0.41,6.1,0.044000000000000004,20.0,122.0,0.995,3.1,0.41,10.3
6.6,0.39,0.26,6.3,0.19699999999999998,38.0,177.0,0.9888899999999999,3.15,0.53,10.4
7.6,0.26,0.26,6.85,0.048,28.0,168.0,0.99021,3.17,0.38,8.8
6.6,0.24,0.67,1.5,0.04,24.0,142.0,0.99098,3.13,0.41,10.9
6.7,0.23,0.28,5.6,0.047,26.0,101.0,0.9943,3.38,0.62,12.7
6.0,0.25,0.2,16.3,0.038,24.0,147.0,0.9952700000000001,2.94,0.52,10.2
7.5,0.12,0.29,1.2,0.046,15.0,81.0,0.99164,3.09,0.58,9.9
5.6,0.26,0.13,4.45,0.037000000000000005,54.0,118.0,0.99397,3.21,0.36,8.8
5.0,0.2,0.58,1.3,0.051,37.0,112.0,0.9953799999999999,3.09,0.48,10.5
7.3,0.16,0.35,1.95,0.066,43.0,87.0,0.991,3.05,0.53,10.8
7.1,0.32,0.35,5.25,0.064,39.0,162.0,0.9986,3.18,0.49,11.9
8.5,0.335,0.14,14.6,0.061,82.0,166.0,0.9914299999999999,3.24,0.36,10.5
6.4,0.11,0.65,3.1,0.04,42.0,81.0,0.9968,3.04,0.47,11.2
6.9,0.26,0.34,1.5,0.044000000000000004,59.0,108.0,0.9952,3.41,0.5,9.2
6.2,0.19,0.44,7.4,0.047,24.0,205.0,0.9925,3.04,0.67,9.8
7.7,0.23,0.31,12.8,0.044000000000000004,35.0,140.0,0.99713,3.19,0.33,10.4
6.9,0.36,0.27,2.4,0.055,59.0,180.0,0.9984,3.14,0.34,12.5
6.4,0.34,0.52,2.7,0.037000000000000005,76.0,187.0,0.9942,3.2,0.53,11.0
6.4,0.35,0.4,6.5,0.037000000000000005,34.0,85.0,0.998,3.03,0.51,9.3
7.0,0.19,0.43,7.5,0.044000000000000004,9.0,145.0,0.9905,2.97,0.46,10.2
6.8,0.23,0.27,3.0,0.042,53.0,186.0,0.9918,3.04,0.57,10.1
5.5,0.33,1.23,9.2,0.04,42.0,119.0,0.99234,2.85,0.49,9.2
6.2,0.32,0.28,12.9,0.028999999999999998,7.0,121.0,0.9935200000000001,3.08,0.52,12.8
7.6,0.29,0.27,6.6,0.037000000000000005,26.0,194.0,0.9929,3.14,0.41,11.1
7.2,0.29,0.53,13.5,0.053,48.0,224.0,0.9898,3.0,0.52,10.6
6.5,0.16,0.49,0.8,0.035,25.0,151.0,0.9964,3.28,0.39,11.2
7.0,0.32,0.36,3.9,0.046,11.0,210.0,0.99592,3.28,0.38,10.8
5.6,0.24,0.3,1.2,0.04,31.0,98.0,0.9928,3.25,0.38,9.4
6.2,0.41,0.34,1.65,0.059000000000000004,62.0,95.0,0.9939,3.38,0.6,10.6
7.9,0.31,0.39,9.5,0.037000000000000005,67.0,114.0,0.99674,3.36,0.54,11.0
5.9,0.18,0.37,4.1,0.048,22.0,104.0,0.9928,3.16,0.4,10.4
5.7,0.21,0.22,3.9,0.048,55.0,189.0,0.9936,3.14,0.52,11.8
7.0,0.29,0.36,1.6,0.051,40.0,189.0,0.9972,3.06,0.54,11.2
9.2,0.22,0.43,9.8,0.061,66.0,163.0,0.9938,3.17,0.42,8.8
6.2,0.25,0.25,4.2,0.05,38.0,145.0,0.99306,3.16,0.42,12.8
7.3,0.16,0.31,4.6,0.033,67.0,152.0,0.9905799999999999,3.03,0.53,10.5
6.6,0.15,0.34,4.55,0.047,41.0,82.0,0.99418,3.37,0.7,11.6
5.5,0.2,0.33,9.5,0.034,54.0,142.0,0.99756,3.23,0.46,11.6
7.0,0.14,0.31,18.15,0.044000000000000004,6.0,125.0,0.99582,3.24,0.32,11.8
8.5,0.33,0.49,1.4,0.040999999999999995,35.0,186.0,1.0002,3.05,0.56,10.0
6.8,0.28,0.31,4.8,0.043,49.0,158.0,0.9932,3.14,0.43,9.0
6.7,0.16,0.34,1.5,0.047,48.0,131.0,0.99408,2.97,0.4,11.4
6.1,0.14,0.34,4.2,0.044000000000000004,37.0,161.0,0.9938799999999999,3.05,0.38,10.9
6.5,0.49,0.21,6.8,0.066,24.0,213.0,0.99564,3.06,0.52,9.0
7.4,0.4,0.32,8.1,0.027999999999999997,22.0,167.0,0.99479,3.36,0.53,12.6
7.1,0.36,0.35,7.8,0.043,29.0,72.0,0.9956,3.23,0.6,9.1
7.5,0.2,0.54,6.8,0.049,29.0,115.0,0.9934,3.41,0.53,10.0
6.5,0.34,0.33,1.4,0.054000000000000006,38.0,140.0,0.9937,3.17,0.59,13.9
6.2,0.24,0.31,9.6,0.034,38.0,190.0,0.99497,3.28,0.59,10.0
5.8,0.29,0.45,2.0,0.057999999999999996,48.0,155.0,0.9984,3.28,0.62,9.3
7.2,0.17,0.32,1.2,0.044000000000000004,32.0,178.0,0.99074,3.05,0.57,11.5
6.6,0.32,0.29,9.1,0.063,38.0,189.0,0.9954200000000001,3.16,0.54,12.8
6.4,0.27,0.24,2.7,0.046,32.0,234.0,0.9927799999999999,3.32,0.4,12.7
5.1,0.16,0.23,1.4,0.047,30.0,183.0,0.9979,3.22,0.43,9.7
7.3,0.21,0.64,8.0,0.055999999999999994,26.0,99.0,0.9908799999999999,3.24,0.42,9.4
6.1,0.25,0.38,10.5,0.034,11.0,116.0,0.9899,3.16,0.41,11.8
7.1,0.36,0.32,2.0,0.045,45.0,188.0,0.9984,3.36,0.54,13.2
8.2,0.29,0.26,1.6,0.03,31.0,79.0,0.99692,3.35,0.29,10.1
7.4,0.41,0.22,9.8,0.025,21.0,110.0,0.9907,3.08,0.46,8.9
6.3,0.38,0.65,8.0,0.028999999999999998,24.0,114.0,0.9961,3.22,0.74,12.6
6.2,0.31,0.28,5.3,0.027000000000000003,27.0,138.0,0.98944,3.05,0.44,11.5
6.3,0.28,0.3,0.9,0.039,18.0,205.0,0.997,3.14,0.4,13.4
7.7,0.43,0.24,10.5,0.03,38.0,111.0,0.9974,2.97,0.37,10.4
6.8,0.3,0.34,13.9,0.057,45.0,128.0,1.0002,3.31,0.59,9.9
8.9,0.28,0.44,7.2,0.044000000000000004,22.0,168.0,0.9895200000000001,3.29,0.49,9.8
6.2,0.21,0.36,1.5,0.037000000000000005,46.0,151.0,0.9986,3.19,0.53,11.4
5.6,0.33,0.31,14.7,0.038,58.0,169.0,0.996,3.21,0.5,12.0
6.8,0.13,0.37,4.4,0.039,27.0,111.0,0.99335,3.22,0.8,12.0
7.0,0.36,0.36,7.9,0.042,35.0,131.0,0.9954,3.26,0.54,9.5
6.7,0.28,0.29,1.2,0.043,48.0,110.0,0.99306,3.35,0.48,10.8
7.1,0.21,0.56,1.3,0.051,56.0,83.0,0.9935799999999999,3.17,0.36,13.6
7.4,0.24,0.33,4.35,0.078,29.0,135.0,0.993,3.34,0.53,12.7
6.4,0.36,0.2,1.1,0.067,12.0,183.0,0.9949,2.98,0.31,12.8
6.5,0.56,0.45,18.15,0.019,38.0,122.0,0.9908899999999999,3.26,0.38,10.1
6.8,0.19,0.34,5.9,0.040999999999999995,25.0,103.0,0.9922,3.24,0.44,8.9
5.1,0.19,0.37,7.5,0.053,60.0,71.0,0.9902700000000001,3.18,0.4,9.4
7.4,0.18,0.37,12.4,0.034,25.0,73.0,0.9912,3.37,0.5,9.5
6.8,0.32,0.24,1.7,0.04,10.0,142.0,0.9937799999999999,3.14,0.53,12.1
7.5,0.2,0.3,12.3,0.043,20.0,187.0,0.9946,3.46,0.51,9.7
6.8,0.22,0.29,9.7,0.047,39.0,154.0,0.9982700000000001,3.23,0.51,9.0
6.0,0.44,0.18,4.2,0.08199999999999999,36.0,133.0,0.99274,2.9,0.46,9.1
6.3,0.23,0.14,7.5,0.036000000000000004,35.0,216.0,0.9912,3.17,0.53,9.6
7.7,0.19,0.26,1.5,0.053,37.0,147.0,0.9940000000000001,3.27,0.42,13.4
7.7,0.29,0.41,14.45,0.055,44.0,104.0,0.9962,2.93,0.51,11.4
6.0,0.29,0.37,7.2,0.032,33.0,135.0,0.9903,3.02,0.46,12.8
8.0,0.4,0.49,1.8,0.047,37.0,149.0,0.99955,2.88,0.35,11.3
6.0,0.27,0.28,1.2,0.038,63.0,164.0,0.99406,3.04,0.75,12.2
8.1,0.17,0.28,1.6,0.04,69.0,87.0,0.9924,3.31,0.38,11.3
6.4,0.25,0.3,1.5,0.037000000000000005,26.0,87.0,0.99935,3.24,0.38,9.5
6.5,0.34,0.14,5.1,0.039,18.0,99.0,0.9905299999999999,3.13,0.39,9.5
7.0,0.15,0.36,1.4,0.062,24.0,168.0,0.9908899999999999,3.22,0.58,9.6
6.1,0.19,0.28,1.4,0.045,26.0,177.0,0.99498,3.12,0.5,10.4
9.9,0.13,0.32,3.9,0.03,15.0,272.0,0.99069,3.13,0.44,11.0
6.6,0.23,0.32,1.5,0.057,24.0,227.0,0.9944,3.6,0.68,11.5
8.3,0.18,0.53,8.2,0.052000000000000005,37.0,138.0,0.9966299999999999,3.09,0.38,9.3
6.6,0.22,0.28,16.6,0.16,29.0,82.0,0.99479,3.55,0.51,12.0
7.4,0.3,0.35,5.1,0.047,10.0,112.0,0.99521,3.51,0.47,12.7
6.3,0.22,0.49,6.2,0.04,32.0,140.0,1.0,3.16,0.52,9.9
6.5,0.19,0.34,2.1,0.031,52.0,216.5,0.98974,3.36,0.76,11.0
6.4,0.39,0.26,1.3,0.046,42.0,155.0,0.9974,3.21,0.48,13.4
7.0,0.22,0.24,1.8,0.049,20.0,152.0,0.9957,3.14,0.49,12.6
6.5,0.26,0.27,2.8,0.045,26.0,109.0,0.99134,3.24,0.37,9.0
6.8,0.28,0.74,4.8,0.05,75.0,144.0,0.9933,3.28,0.49,9.5
5.4,0.18,0.23,1.2,0.032,28.0,122.0,0.99166,3.19,0.36,12.8
5.8,0.16,0.4,7.4,0.055999999999999994,42.0,131.0,0.9957799999999999,3.26,0.54,11.5
6.0,0.27,0.13,5.2,0.055999999999999994,57.0,119.0,0.9936,3.17,0.54,11.4
5.9,0.29,0.47,1.8,0.048,43.0,76.0,1.0017,2.94,0.54,9.5
6.8,0.36,0.27,7.8,0.046,32.0,163.0,0.9968,3.2,0.42,9.1
8.2,0.41,0.16,7.8,0.038,108.0,191.0,0.9984,3.11,0.4,10.0
7.6,0.27,0.41,15.0,0.042,39.0,130.0,0.9910399999999999,3.21,0.56,11.4
7.8,0.18,0.28,5.7,0.045,57.0,124.0,0.99976,3.15,0.47,9.5
5.7,0.27,0.3,6.8,0.037000000000000005,4.0,115.0,0.9914799999999999,3.52,0.46,11.0
6.4,0.41,0.37,1.9,0.04,37.0,149.0,0.99336,3.35,0.45,9.3
6.9,0.37,0.39,2.1,0.043,32.0,171.0,0.99828,3.22,0.6,10.5
6.8,0.25,0.34,16.7,0.027000000000000003,63.0,115.0,0.9906299999999999,2.94,0.45,9.4
7.0,0.28,0.34,16.0,0.03,30.0,134.0,0.99523,3.44,0.42,11.3
7.0,0.28,0.33,10.7,0.046,64.0,99.0,0.9909,3.61,0.36,9.4
8.0,0.19,0.31,2.1,0.034,38.0,124.0,0.9983,3.15,0.34,9.2
7.0,0.3,0.25,1.4,0.03,32.0,111.0,0.9969,3.03,0.54,10.5
6.6,0.23,0.19,5.0,0.301,39.0,116.0,0.99379,3.31,0.53,11.8
6.2,0.18,0.43,1.2,0.038,68.0,127.0,0.99405,3.02,0.34,10.4
6.0,0.35,0.27,7.8,0.036000000000000004,23.0,164.0,0.9971,3.45,0.77,10.8
6.5,0.28,0.36,8.0,0.02,44.0,158.0,0.98954,3.21,0.35,10.2
6.3,0.22,0.26,3.3,0.05,26.0,72.0,0.9940000000000001,3.22,0.5,11.9
7.2,0.51,0.31,12.8,0.062,45.0,182.0,0.9932,3.19,0.39,12.6
6.5,0.22,0.2,3.5,0.023,43.0,95.0,1.0,3.14,0.46,8.9
7.2,0.33,0.29,5.7,0.027999999999999997,48.5,170.0,0.9936,3.05,0.41,9.5
7.7,0.15,0.4,3.4,0.042,36.0,71.0,0.9978,3.1,0.5,11.7
9.8,0.4,0.29,11.45,0.048,49.0,168.0,0.9936,2.98,0.39,9.9
5.8,0.25,0.42,1.4,0.045,39.0,183.0,0.98856,3.11,0.52,12.5
6.2,0.55,0.39,1.2,0.084,55.0,165.0,0.99836,3.51,0.35,10.8
7.2,0.27,0.26,5.9,0.034,17.0,127.0,0.998275,3.27,0.38,9.6
6.0,0.45,0.3,2.7,0.05,12.0,182.0,0.99382,3.02,0.67,10.1
7.4,0.24,0.23,17.35,0.046,15.0,109.0,0.9932,3.2,0.59,10.2
6.4,0.25,0.28,9.1,0.047,36.0,191.0,0.9939,3.26,0.49,10.6
6.4,0.12,0.31,8.8,0.038,33.0,107.0,0.9926,3.41,0.61,10.5
6.1,0.16,0.28,15.6,0.044000000000000004,6.0,120.0,0.99056,3.21,0.35,12.0
7.2,0.38,0.31,11.7,0.036000000000000004,46.0,154.0,0.9925,3.04,0.59,8.9
5.7,0.2,0.17,1.2,0.054000000000000006,24.0,99.0,0.9932,2.89,0.72,9.2
5.6,0.32,0.28,14.3,0.055999999999999994,40.0,90.0,0.993,3.22,0.5,9.1
6.4,0.51,0.35,3.2,0.054000000000000006,48.0,201.0,0.9908399999999999,3.14,0.71,8.9
6.3,0.25,0.32,1.4,0.044000000000000004,36.0,253.0,0.99754,3.13,0.79,9.6
6.8,0.28,0.26,1.4,0.038,40.0,145.0,0.9926,3.52,0.55,10.2
6.0,0.2,0.5,1.45,0.026000000000000002,8.0,163.0,0.9895200000000001,2.98,0.64,11.3
7.6,0.31,0.29,12.0,0.07400000000000001,15.0,181.0,0.99398,3.15,0.38,12.3
6.6,0.35,0.33,13.2,0.055,24.0,73.0,0.9974,3.2,0.38,10.0
7.1,0.38,0.49,4.4,0.05,57.0,230.0,0.9936,3.38,0.36,10.4
6.6,0.44,0.26,7.9,0.039,25.0,119.0,0.99174,3.06,0.42,12.3
6.8,0.23,0.36,5.8,0.038,9.0,133.0,0.98946,3.34,0.38,10.1
6.9,0.19,0.36,4.1,0.045,15.0,136.0,0.9943,3.15,0.65,10.0
7.3,0.35,0.34,6.8,0.057999999999999996,64.0,134.0,0.99911,3.39,0.34,12.7
6.9,0.21,0.21,3.9,0.037000000000000005,34.0,122.0,0.9919,3.15,0.83,9.8
5.4,0.32,0.74,13.4,0.12300000000000001,44.0,105.0,0.98936,3.1,0.63,10.0
7.0,0.25,0.45,15.3,0.053,20.0,115.0,0.99772,3.26,0.44,10.0
6.2,0.13,0.27,1.5,0.040999999999999995,17.0,169.0,0.9912299999999999,3.35,0.57,9.4
7.3,0.3,0.3,11.7,0.048,40.0,124.0,0.99471,3.18,0.39,11.4
6.0,0.24,0.58,6.2,0.042,20.0,169.0,0.9972,3.46,0.44,11.2
6.9,0.25,0.33,18.95,0.057,28.0,122.0,0.9942799999999999,3.25,0.46,10.6
6.1,0.16,0.26,1.1,0.175,45.0,104.0,0.9937,3.05,0.38,10.2
6.7,0.29,0.33,6.6,0.034,48.0,168.0,0.99266,3.26,0.64,9.2
6.9,0.28,0.29,10.8,0.05,53.0,67.0,0.9969,3.3,0.37,12.3
5.4,0.32,0.37,1.1,0.031,20.0,117.0,0.9898,3.06,0.5,9.1
6.9,0.2,0.27,1.0,0.043,34.0,149.0,0.9937600000000001,3.13,0.37,9.8
6.2,0.25,0.16,5.2,0.040999999999999995,82.0,134.0,0.9957799999999999,3.34,0.37,9.0
7.2,0.25,0.28,5.7,0.04,44.0,129.0,0.991,3.03,0.46,12.1
7.1,0.32,0.2,2.0,0.047,14.0,86.0,0.9959,3.18,0.56,10.2
5.8,0.37,0.27,1.2,0.055,52.0,87.0,0.9893149999999999,2.87,0.32,9.4
7.2,0.28,0.47,8.2,0.034,35.0,230.0,0.9934,3.09,0.41,10.0
6.2,0.2,0.36,0.8,0.038,32.0,173.0,0.99666,3.44,0.32,9.6
6.6,0.35,0.28,3.2,0.04,46.0,167.0,0.9974,3.35,0.54,10.1
9.2,0.27,0.33,5.9,0.035,33.0,202.0,0.98918,3.01,0.49,9.4
6.8,0.5,0.32,1.6,0.048,53.0,194.0,0.9972,3.41,0.33,11.3
7.4,0.3,0.18,13.7,0.027999999999999997,24.0,138.0,0.9953,3.26,0.75,10.3
7.8,0.62,0.22,9.3,0.017,50.0,133.0,0.99815,3.02,0.58,9.7
7.0,0.34,0.27,7.0,0.053,49.0,143.0,0.9888600000000001,3.22,0.72,10.1
6.2,0.2,0.32,16.2,0.142,64.0,152.0,0.99018,2.8,0.54,9.2
5.7,0.32,0.34,1.6,0.047,33.0,157.0,0.9926,3.15,0.5,10.6
6.8,0.25,0.36,10.2,0.044000000000000004,65.0,167.0,0.9953,3.09,0.54,12.3
7.0,0.33,0.26,2.7,0.044000000000000004,33.0,104.0,0.9959,3.04,0.5,9.4
7.7,0.33,0.28,5.7,0.037000000000000005,22.0,150.0,0.9979,3.32,0.56,10.8
7.3,0.28,0.31,1.4,0.046,40.0,128.0,0.9979,3.26,0.52,10.5
7.0,0.28,0.25,1.6,0.044000000000000004,10.0,166.0,0.9918299999999999,3.18,0.5,9.4
6.4,0.31,0.34,14.45,0.040999999999999995,60.0,137.0,0.9929,3.2,0.39,9.0
6.9,0.19,0.45,8.45,0.045,21.0,168.0,0.993,3.27,0.37,12.0
6.1,0.43,0.41,13.0,0.037000000000000005,70.0,162.0,0.9923,3.42,0.44,8.9
6.8,0.15,0.3,6.5,0.023,26.0,115.0,0.9942,3.41,0.72,11.1
6.4,0.26,0.2,0.8,0.033,23.0,181.0,0.9952,3.31,0.71,11.5
6.0,0.155,0.26,1.0,0.053,33.0,152.0,0.9966299999999999,3.08,0.41,10.9
6.8,0.25,0.0,1.7,0.09,44.0,100.0,0.9973200000000001,3.07,0.66,10.0
6.9,0.41,0.49,14.6,0.067,26.0,168.0,0.99534,3.27,0.47,12.1
6.4,0.22,0.24,5.6,0.03,47.0,131.0,0.9923,3.34,0.56,9.7
