id,Был негативный опыт кредитов,Был позитивный опыт кредитов,Вернул кредит,Возраст,"Доход в месяц, руб",Количество кредитных карт,Количество лет на последней работе,Количество объектов недвижимости в собственности,Уровень образования
113,0,0,0,35,22109,3,2,2,4
114,0,1,1,39,371795,8,3,0,2
115,0,0,1,29,60634,2,3,0,2
116,0,0,1,30,49266,1,2,3,4
117,0,0,0,39,808754,2,4,4,2
118,0,1,1,49,15610,6,3,1,2
119,0,1,0,33,136765,5,14,0,2
120,0,1,1,40,168331,1,3,3,3
121,0,1,1,38,22206,3,18,0,2
122,0,0,1,47,336696,3,31,2,2
123,0,1,1,33,18816,1,2,0,2
124,0,1,1,34,7439,5,16,0,2
125,0,0,0,40,22237,6,1,0,2
126,0,1,1,46,592221,4,20,10,2
127,0,1,1,34,93476,1,4,0,4
128,0,1,1,31,8446,2,2,1,2
129,0,1,1,25,24216,1,11,0,1
130,0,1,1,28,162863,2,14,0,3
131,0,0,0,48,13653,1,3,0,2
132,0,1,1,29,337795,2,4,3,2
133,0,1,0,48,23852,1,9,6,1
134,0,0,1,37,324138,1,11,2,2
135,0,0,1,52,177637,3,1,0,3
136,0,1,1,32,20192,1,2,0,2
137,0,0,1,25,14910,2,3,0,3
138,0,0,1,32,14641,4,4,0,2
139,0,1,0,30,38166,4,2,0,2
140,0,1,1,33,154351,4,14,0,2
141,0,0,1,45,31855,4,2,4,2
142,0,0,1,43,202286,5,15,0,3
143,1,0,0,43,282906,2,7,7,2
144,0,1,1,33,22503,2,13,0,4
145,0,0,0,43,22500,0,4,0,2
146,0,1,1,53,18911,5,2,3,3
147,0,1,1,38,92165,1,4,0,1
148,0,1,1,35,284363,2,4,5,2
149,0,0,0,42,723324,9,2,4,2
150,0,1,1,44,22864,2,1,4,1
151,0,0,1,36,144047,3,3,0,3
152,0,1,1,51,18302,2,4,0,3
153,0,0,0,34,13559,2,0,6,2
154,0,0,1,41,23027,10,3,0,2
155,0,1,1,41,20629,2,14,0,3
156,0,0,0,30,706985,1,14,4,3
157,1,1,1,25,225806,2,15,3,2
158,0,1,1,34,18397,1,3,0,3
159,0,1,1,33,14154,2,13,0,3
160,0,1,1,35,20876,1,7,5,2
161,0,1,0,35,202029,2,3,0,2
162,0,1,1,28,10956,3,0,3,2
163,0,0,1,34,15036,1,1,0,2
164,0,1,1,25,23913,2,4,0,2
165,0,0,1,31,26119,1,4,1,2
166,0,0,1,34,153357,2,4,0,2
167,0,1,1,38,16834,2,3,0,2
168,0,1,1,34,317131,3,4,0,3
169,0,1,1,34,237620,4,8,0,3
170,0,1,1,35,331585,5,2,13,2
171,0,0,1,22,508240,2,19,0,2
172,0,0,0,33,22407,4,3,0,2
173,0,0,1,34,13753,1,3,0,2
174,0,0,1,41,397593,3,3,0,2
175,1,0,1,28,290598,2,11,5,2
176,0,0,0,31,20381,4,2,0,2
177,0,1,1,33,24840,7,5,5,2
178,0,1,1,45,9833,1,2,0,2
179,0,1,1,53,9639,6,2,5,2
180,0,0,0,59,783620,4,14,0,3
181,0,1,1,42,13588,1,2,9,1
182,0,1,1,41,23614,2,3,0,2
183,0,1,1,31,19367,2,4,0,4
184,0,0,0,28,185870,3,14,4,2
185,0,1,1,32,23630,4,3,0,3
186,0,0,1,45,362603,8,2,5,2
187,0,0,1,35,24799,5,4,0,2
188,0,0,1,36,20179,2,6,13,3
189,0,1,1,52,-1114,2,4,0,2
190,0,0,1,35,580911,1,4,4,2
191,0,0,1,34,354718,1,6,0,2
192,0,1,1,29,263371,6,2,4,3
193,0,0,0,32,659671,1,4,7,4
194,0,1,0,48,23611,3,11,0,4
195,0,0,1,34,153285,2,9,3,2
196,0,1,1,40,44436,2,3,7,3
197,0,1,1,40,345401,4,11,0,2
198,0,1,1,26,94293,3,2,0,2
199,0,1,1,44,153635,3,14,0,2
200,0,1,1,46,597418,2,24,0,2
201,0,0,1,30,14617,10,5,6,2
202,0,0,1,30,483391,7,4,7,2
203,0,1,1,50,218140,2,2,2,2
204,0,1,1,50,403087,2,3,0,2
205,0,0,1,34,24773,4,2,4,2
206,0,1,1,36,392361,4,1,3,2
207,0,1,1,31,261397,1,9,3,2
208,0,0,0,42,15925,4,4,0,1
209,0,0,1,36,414678,2,14,0,2
210,0,1,1,38,15737,5,10,0,2
211,0,1,1,45,571700,6,4,0,2
212,0,1,0,30,19689,3,3,0,2
213,0,0,0,46,95132,4,3,3,3
214,0,0,1,36,21372,1,3,0,2
215,1,0,1,34,95993,3,9,3,3
216,0,1,0,34,23586,6,2,0,3
217,0,0,1,33,84648,2,6,13,2
218,0,0,1,43,76448,3,9,5,2
219,0,1,0,32,12997,8,2,0,2
220,0,0,1,34,18916,5,3,0,3
221,0,1,1,43,48220,5,4,12,2
222,1,1,1,51,144518,3,3,4,2
223,0,0,1,39,20850,2,4,12,2
224,1,1,0,47,24286,5,4,10,1
225,0,0,1,32,19257,6,7,0,2
226,0,0,1,43,297006,3,15,0,2
227,1,0,0,35,23800,4,4,1,4
228,0,1,1,35,319836,1,4,0,3
229,0,0,1,43,18716,6,8,4,3
230,0,0,0,38,17821,4,3,0,2
231,1,0,1,34,557394,2,5,5,2
232,0,1,1,25,59459,1,3,1,3
233,0,1,1,31,21799,6,7,7,2
234,1,0,1,48,319453,2,3,1,2
235,0,1,1,28,20454,2,8,0,2
236,0,0,1,30,221630,4,8,7,3
237,1,1,1,41,225275,3,4,3,2
238,1,1,1,34,15806,2,3,0,2
239,0,0,1,47,805670,4,10,0,2
240,0,0,1,48,179108,1,4,1,2
241,1,0,0,36,14773,1,12,7,2
242,0,1,1,47,15322,1,5,6,2
243,0,1,1,43,370871,4,2,0,2
244,1,1,0,56,176472,5,2,0,3
245,0,1,1,39,401545,5,8,1,4
246,0,1,1,35,24736,2,4,0,2
247,0,0,1,31,121441,4,13,0,2
248,0,0,1,30,710075,1,4,4,2
249,0,0,0,43,90661,2,3,8,2
250,0,1,1,34,281720,5,11,5,3
251,0,0,1,49,17650,2,16,16,2
252,1,0,1,32,361080,2,11,10,1
253,0,1,1,29,113391,2,22,5,2
254,0,1,0,27,434207,-1,7,6,3
255,0,1,0,34,21971,3,10,0,3
256,0,0,1,34,12373,2,8,4,1
257,0,1,0,48,17730,4,2,9,2
258,0,1,1,32,408911,4,27,0,2
259,0,0,1,26,184519,1,4,5,2
260,0,0,1,45,21013,6,4,0,3
261,0,1,1,42,196346,1,20,5,2
262,0,1,1,30,18565,1,3,4,2
263,0,1,0,27,21936,2,17,8,5
264,0,1,1,25,234156,2,3,9,2
265,0,0,1,43,466883,1,6,0,3
266,0,1,1,32,19407,2,8,0,2
267,0,0,1,36,22527,6,14,5,2
268,0,1,1,50,466076,5,5,3,2
269,0,0,1,45,20615,1,3,0,2
270,1,1,1,27,21112,1,15,8,2
271,0,1,1,47,20905,7,4,0,3
272,0,1,0,49,12468,6,5,4,2
273,0,1,1,39,391105,3,4,4,2
274,0,0,1,38,574703,3,3,9,2
275,0,0,0,20,193905,5,7,1,2
276,0,0,0,34,23042,5,9,0,2
277,0,0,1,36,362274,1,12,2,1
278,0,1,1,29,78872,3,10,0,2
279,0,1,1,25,22796,2,2,0,4
280,0,0,1,29,15462,5,13,2,2
281,0,0,0,31,24502,3,4,0,2
282,0,1,1,49,751732,2,12,0,2
283,0,1,1,48,16869,2,13,2,2
284,0,0,1,29,385315,3,10,3,3
285,0,1,1,40,254937,5,22,0,2
286,0,0,1,38,303730,9,3,0,2
287,0,0,1,38,552985,2,3,6,2
288,0,0,1,48,472992,3,10,1,2
289,0,0,1,44,167312,7,3,2,3
290,0,1,1,31,24481,3,4,1,2
291,0,0,1,34,24749,8,16,0,2
292,0,0,1,44,13767,1,7,4,1
293,0,0,1,33,14475,3,8,0,2
294,0,1,1,44,76676,0,3,6,2
295,0,1,1,52,144300,5,7,0,3
296,0,0,1,34,207070,2,7,0,2
297,0,0,1,33,18735,2,2,6,2
298,0,1,1,31,386900,2,5,7,2
299,0,0,1,26,195722,2,4,0,2
300,0,0,1,34,18207,3,8,0,4
301,0,1,1,33,328945,5,22,0,5
302,0,1,1,29,215537,2,4,0,2
303,0,1,1,42,14046,2,2,3,2
304,0,1,1,30,419039,1,12,7,2
305,0,0,1,46,19471,5,5,0,3
306,0,0,1,48,21454,4,14,1,4
307,0,1,1,27,21436,3,4,0,2
308,0,0,1,34,589859,2,9,11,2
309,0,0,1,26,399429,3,7,0,3
310,0,0,1,34,309431,2,4,0,2
311,0,1,0,47,685739,2,14,0,2
312,0,0,0,30,24104,5,5,0,3
313,0,1,1,31,19199,1,18,0,1
314,0,0,1,28,21090,2,3,0,2
315,0,0,1,38,11173,2,23,9,2
316,0,0,0,51,292518,3,4,1,3
317,0,1,1,54,18952,4,8,0,3
318,0,1,1,34,10778,2,2,3,2
319,0,1,1,33,117396,2,3,0,3
320,0,0,0,26,8128,6,4,0,1
321,0,0,0,43,19862,3,11,0,2
322,0,1,0,25,73168,2,4,0,4
323,0,1,1,48,177253,3,9,5,2
324,0,1,1,41,195821,1,9,0,2
325,0,1,1,48,20582,1,4,0,2
326,0,0,0,46,15764,4,3,7,3
327,0,0,1,65,20280,2,9,11,3
328,0,0,1,29,22512,2,6,9,2
329,0,1,1,16,17437,2,4,0,1
330,0,1,1,43,13344,1,11,0,1
331,0,1,1,41,16365,3,11,0,2
332,0,1,1,52,23025,2,4,0,2
333,0,1,0,46,209707,2,15,0,2
334,0,0,1,36,313778,2,1,0,3
335,0,0,1,49,739968,4,7,2,3
336,0,0,1,32,77446,1,12,10,4
337,0,1,1,35,21683,0,3,0,2
338,0,0,1,43,19318,2,5,0,4
339,0,1,0,42,149201,7,6,1,2
340,0,0,1,61,408319,2,3,9,3
341,0,1,1,31,16570,2,3,9,2
342,0,1,1,40,23699,3,9,2,4
343,1,0,1,42,371497,1,4,0,2
344,0,0,1,24,21169,3,15,0,2
345,0,0,1,45,195883,0,7,0,4
346,0,1,1,31,13912,5,2,0,2
347,0,0,0,28,18905,2,3,2,4
348,1,1,1,34,212774,2,2,0,3
349,0,1,1,28,17308,5,9,9,2
350,0,0,1,39,98375,5,10,18,2
351,0,0,1,33,24833,1,4,0,2
352,0,1,1,44,11488,8,6,0,2
353,0,1,1,51,218355,4,4,8,2
354,0,1,0,34,347810,5,20,1,2
355,0,0,1,29,509443,1,3,0,2
356,0,1,1,44,23938,2,10,9,2
357,0,0,1,40,781226,1,3,0,2
358,0,1,1,32,67290,1,2,0,3
359,0,0,1,29,35626,1,3,2,2
360,0,0,1,30,168757,6,2,0,1
361,0,0,1,32,20646,2,8,2,2
362,0,1,1,41,46460,3,3,5,2
363,0,1,1,37,14811,2,18,0,2
364,0,1,1,37,162766,2,2,0,2
365,0,1,1,58,374497,1,10,7,2
366,0,1,1,71,21949,5,8,0,3
367,0,0,1,32,814582,2,6,0,2
368,0,1,1,31,20151,2,6,5,4
369,0,1,1,46,578262,3,8,0,2
370,0,1,0,36,17632,2,3,2,2
371,0,0,1,47,18183,6,15,0,3
372,0,0,1,42,169444,5,3,0,2
373,0,1,1,32,227621,2,13,4,2
374,1,0,1,30,20172,4,4,2,2
375,0,1,1,53,418142,2,16,0,2
376,0,0,0,40,837251,2,3,4,2
377,0,0,1,37,3619,1,8,0,2
378,0,1,1,33,377882,3,4,0,2
379,0,1,1,35,105631,2,4,0,4
380,0,0,1,32,14976,5,12,0,3
381,0,1,1,40,64023,2,4,0,1
382,0,0,1,42,21659,5,16,2,1
383,1,1,0,50,24535,1,3,0,2
384,1,0,0,32,12459,1,7,0,2
385,0,0,0,28,6610,5,11,0,2
386,0,1,0,35,19094,1,3,5,2
387,0,1,1,29,20296,1,8,0,3
388,0,0,0,29,5100,5,5,0,2
389,0,0,1,49,21753,2,3,0,3
390,0,0,1,35,34108,4,3,11,2
391,0,0,1,35,21886,2,14,1,2
392,0,1,0,32,159437,4,3,4,2
393,0,1,1,34,8346,1,3,2,2
394,0,0,1,54,171186,7,11,0,2
395,0,0,1,58,116784,2,9,11,2
396,0,0,1,34,431389,3,14,5,2
397,0,1,1,48,16468,2,3,4,2
398,0,1,1,44,-1329,3,2,0,2
399,0,0,0,31,490801,2,1,0,2
400,0,0,1,28,15342,2,3,1,2
401,1,0,1,62,14240,2,11,0,2
402,0,1,0,27,78784,1,18,7,2
403,0,0,1,35,21946,1,10,0,2
404,0,0,1,42,24989,3,9,6,2
405,0,1,0,35,21485,2,3,3,3
406,0,0,1,37,592234,1,9,0,2
407,0,1,1,51,59676,2,3,1,2
408,1,0,0,40,23844,1,11,12,3
409,0,0,1,39,20029,2,4,4,2
410,0,1,1,38,17242,5,3,11,2
411,0,1,1,33,231951,4,7,0,2
412,0,0,0,36,12629,9,4,0,2
413,0,0,0,43,19649,8,5,5,3
414,0,1,1,55,18015,3,4,6,2
415,0,0,1,37,19012,4,2,2,1
416,0,1,1,34,12096,6,3,2,2
417,0,0,1,49,149539,2,6,8,2
418,0,1,0,33,207124,3,3,0,2
419,0,0,1,39,18031,1,15,7,4
420,0,0,1,42,85108,3,4,0,3
421,0,1,1,32,56130,1,7,4,4
422,0,1,1,28,116245,1,4,2,2
423,0,0,0,58,22988,5,23,0,2
424,0,1,1,33,311180,7,4,0,2
425,0,1,1,34,10293,3,3,0,2
426,1,1,0,34,452046,1,15,11,2
427,0,0,0,29,23154,5,9,0,2
428,0,0,1,39,324284,2,3,9,4
429,0,0,1,40,12217,3,7,3,2
430,0,0,1,54,268762,6,9,5,3
431,0,0,1,39,10661,5,9,16,2
432,0,1,1,30,178879,2,25,0,3
433,0,1,0,40,241335,8,4,0,3
434,0,1,1,41,704182,0,3,0,3
435,0,0,1,28,39460,2,17,0,2
436,0,0,1,41,10965,2,12,0,2
437,0,0,0,34,272252,4,14,0,2
438,0,1,1,40,296550,2,2,5,3
439,1,1,0,51,24956,2,1,4,3
440,0,1,0,37,10648,3,3,6,3
441,0,0,0,30,24746,2,23,0,2
442,0,1,0,53,23452,3,3,4,3
443,0,0,1,34,18611,4,3,4,2
444,0,1,1,42,23852,2,3,0,2
445,0,1,1,56,12692,2,2,2,2
446,0,1,0,43,491604,3,15,0,3
447,1,1,1,38,498140,1,9,9,3
448,0,1,1,51,21552,3,16,4,4
449,0,0,1,35,500235,2,10,0,3
450,0,1,1,41,446750,2,6,5,3
451,0,1,0,47,13122,5,4,0,2
452,0,0,1,29,17239,3,9,0,2
453,0,0,1,29,280198,6,4,0,2
454,0,1,1,57,452553,2,12,0,2
455,0,1,1,23,18939,10,2,0,3
456,0,0,1,36,19828,3,8,9,2
457,0,1,1,38,467505,1,4,12,2
458,0,1,1,32,8357,2,16,0,2
459,0,1,1,27,38548,1,20,0,1
460,0,1,1,28,70779,1,3,0,2
461,0,0,1,43,393326,3,2,5,3
462,0,0,1,44,24254,3,11,9,2
463,0,1,1,33,194191,2,18,0,2
464,0,1,1,38,19941,2,11,3,2
465,0,1,1,32,102875,4,2,0,2
466,0,0,1,26,473556,4,5,0,2
467,0,1,1,33,250766,2,2,12,3
468,0,0,1,47,524258,3,20,0,2
469,0,0,0,24,21730,2,3,0,2
470,0,1,1,32,95897,5,10,5,2
471,1,1,0,25,493521,8,3,6,5
472,0,1,1,46,23947,1,13,3,3
473,0,1,1,28,17391,2,3,0,3
474,0,1,1,36,8432,2,9,0,4
475,0,0,0,37,334425,4,3,2,3
476,0,0,1,30,17358,3,4,12,2
477,0,1,1,53,116338,1,26,0,2
478,0,1,1,36,61335,2,11,4,1
479,0,1,1,32,9443,1,3,6,3
480,0,1,0,33,15009,5,2,3,2
481,0,0,1,34,10058,2,4,0,2
482,0,0,1,34,17942,2,3,12,2
483,0,0,1,58,49706,5,3,1,3
484,0,0,1,51,368516,7,3,5,2
485,0,1,1,45,109342,1,5,0,2
486,1,0,1,33,645509,6,20,0,4
487,0,1,1,39,24151,1,4,0,2
488,1,1,1,38,18984,2,2,0,3
489,1,0,0,33,18609,2,12,1,3
490,0,1,1,44,340227,5,4,11,2
491,0,1,1,34,16575,2,4,8,2
492,0,0,1,21,17901,3,4,2,2
493,0,1,1,33,250354,6,3,0,2
494,1,1,1,32,224213,5,3,5,2
495,0,1,1,48,700531,1,2,0,3
496,0,0,1,40,23452,1,9,0,2
497,0,0,1,28,137742,2,15,1,1
498,0,0,1,50,381574,1,19,4,2
499,0,0,0,49,17025,1,22,1,2
500,0,0,1,43,231900,3,13,1,3
501,0,0,1,31,16371,1,5,6,2
502,0,1,1,28,9708,2,3,0,2
503,0,0,1,37,506261,9,3,0,4
504,0,0,0,29,22771,4,4,0,2
505,1,1,0,31,17369,2,4,4,3
506,0,0,1,22,18141,4,3,7,2
507,0,1,1,38,525782,2,3,3,2
508,0,1,1,33,16977,6,3,0,2
509,0,1,1,32,218119,5,18,0,2
510,0,1,1,40,31893,1,6,7,4
511,1,0,0,30,18674,2,11,0,2
512,0,1,1,31,21252,2,3,0,2
513,0,0,1,65,19358,2,3,0,2
514,0,0,1,28,364679,2,4,2,2
515,0,0,1,54,155420,3,8,0,2
516,1,0,1,48,15573,2,3,4,3
517,0,1,0,25,163014,2,3,0,1
518,0,1,1,52,158831,1,2,0,3
519,0,1,1,60,516367,1,3,6,2
520,1,0,1,60,21483,3,5,5,2
521,0,1,1,33,526575,1,6,0,2
522,0,1,1,43,19458,3,6,0,2
523,0,1,1,31,61766,3,1,7,3
524,0,1,1,39,17062,2,14,1,2
525,0,0,0,35,17303,1,10,0,1
526,0,1,0,31,23283,2,3,0,3
527,0,0,1,33,20709,2,7,1,3
528,0,0,1,33,23953,5,2,13,3
529,0,1,0,32,22924,2,21,7,2
530,0,1,1,32,4644,1,12,0,3
531,1,0,1,37,316318,5,3,16,4
532,0,0,0,32,9970,1,16,4,3
533,0,0,1,24,185753,2,10,4,2
534,0,1,1,35,-695,3,20,0,2
535,0,0,1,33,23701,2,4,0,3
536,0,1,1,45,231789,1,3,0,2
537,0,0,0,35,20480,1,24,3,2
538,1,0,1,31,21543,2,11,5,3
539,1,0,1,47,125425,4,11,0,2
540,0,1,1,42,112861,2,3,4,2
541,0,1,1,34,182228,1,8,0,2
542,0,1,0,33,120983,4,20,14,4
543,0,1,0,29,15636,1,3,0,3
544,0,1,0,47,22751,2,8,0,2
545,0,0,1,45,11122,4,3,3,1
546,0,0,1,33,201364,2,3,0,2
547,0,1,1,28,21410,2,16,0,1
548,0,0,0,49,11578,1,6,1,4
549,0,0,1,34,7513,2,4,6,1
550,0,0,1,43,181209,1,5,6,2
551,1,1,1,32,24084,2,10,6,3
552,0,1,0,52,124698,1,3,4,2
553,0,0,1,47,180977,4,4,9,3
554,0,1,0,46,20573,2,4,2,2
555,0,1,0,38,18554,2,3,3,2
556,0,1,1,42,16148,2,4,4,2
557,0,0,1,33,533555,3,5,1,2
558,0,0,0,22,66138,2,3,0,2
559,0,0,1,32,2105,2,4,0,4
560,0,0,1,33,103545,4,10,9,2
561,0,0,0,45,13553,5,8,0,2
562,0,0,0,33,876083,5,3,6,2
563,0,1,1,52,392954,1,7,0,3
564,0,0,1,27,975603,3,1,0,2
565,0,1,1,39,345997,5,4,7,3
566,0,0,1,32,375152,1,4,6,2
567,0,1,1,36,217426,1,4,0,2
568,0,1,1,33,487126,4,6,0,4
569,0,1,0,30,19752,8,4,0,2
570,0,0,1,32,22573,2,5,6,2
571,0,1,0,45,10810,1,4,3,2
572,0,0,1,47,314530,5,7,0,2
573,0,1,0,38,184310,4,8,13,3
574,0,1,0,30,24303,2,5,5,2
575,0,0,1,50,542469,3,4,8,3
576,0,0,1,59,51192,2,3,0,2
577,0,0,1,49,14059,3,2,0,2
578,0,0,1,32,508127,2,14,0,2
579,0,0,1,43,22098,3,3,9,2
580,0,1,1,31,18214,9,3,7,2
581,0,0,1,45,18092,5,12,0,2
582,0,1,1,57,23454,2,4,0,2
583,1,0,1,41,17652,2,4,0,2
584,1,1,1,30,19474,4,2,11,1
585,0,0,1,33,577505,6,13,5,3
586,0,0,1,32,292077,6,3,0,2
587,0,1,1,41,331986,6,15,6,2
588,0,1,1,29,15703,1,2,0,2
589,0,1,1,37,468416,1,3,1,3
590,0,0,1,48,18593,3,9,0,3
591,0,0,0,43,19018,2,5,0,2
592,0,0,1,48,18830,3,4,0,2
593,1,0,1,54,21711,2,4,0,5
594,0,1,1,24,278909,7,4,15,2
595,0,0,0,35,17501,4,8,5,2
596,0,1,1,35,24844,2,12,0,3
597,1,1,1,41,144408,2,4,0,2
598,0,1,1,23,18688,2,6,5,3
599,0,0,1,40,213856,4,3,0,2
600,0,1,1,44,14954,2,3,0,4
601,0,1,1,24,20658,1,4,0,4
602,0,1,1,49,16303,2,3,2,2
603,0,0,1,39,21615,8,2,4,4
604,0,1,1,50,532809,4,2,0,3
605,0,0,1,49,452838,1,3,0,2
606,0,0,1,20,183618,4,15,12,3
607,0,1,1,49,76240,1,16,0,2
608,0,0,0,36,336956,1,3,0,3
609,0,1,0,53,18642,1,8,2,3
610,0,0,1,32,18788,5,15,6,2
611,0,1,1,53,383570,1,8,0,2
612,0,1,1,32,613347,4,5,1,2
613,1,1,1,54,24301,2,4,4,3
614,0,0,1,40,155431,1,3,6,4
615,0,1,0,33,90485,5,4,3,3
616,0,0,1,48,21926,2,3,4,2
617,0,1,1,32,87874,4,3,1,2
618,1,0,1,46,19661,2,7,0,2
619,0,0,1,44,20318,1,6,0,3
620,0,1,1,33,78168,1,3,7,2
621,0,1,1,38,176740,1,4,6,2
622,0,1,1,43,16963,3,7,9,2
623,0,0,0,37,22978,3,3,0,2
624,0,0,1,36,380625,2,3,2,4
625,0,1,1,25,901793,4,19,0,2
626,0,1,0,30,19015,1,3,5,3
627,0,1,0,32,164221,4,4,11,3
628,0,1,1,30,17357,1,3,0,2
629,0,1,1,36,14024,3,16,5,2
630,0,0,1,68,64253,2,3,6,2
631,0,1,0,52,163982,6,4,4,3
632,0,1,0,51,16826,1,4,7,3
633,0,0,0,50,14437,1,2,1,2
634,1,1,0,36,12904,4,7,8,2
635,0,1,1,31,285935,4,3,4,2
636,0,0,0,35,190226,2,4,0,2
637,0,1,1,25,22074,4,11,0,2
638,0,1,1,20,24255,2,10,0,1
639,1,0,1,38,125063,3,3,0,2
640,0,0,1,39,19918,4,3,5,2
641,0,1,1,34,17021,4,5,0,2
642,0,1,1,27,23229,5,11,4,2
643,0,1,0,50,286219,1,4,0,3
644,0,1,1,25,13338,1,6,0,2
645,0,1,1,51,21485,1,3,0,1
646,0,0,1,33,15518,2,4,0,1
647,0,0,1,27,129198,2,4,0,2
648,0,1,1,38,484426,6,12,6,2
649,0,0,0,22,19405,2,10,0,2
650,0,0,1,42,10277,4,15,5,3
651,0,0,0,42,267301,1,3,0,2
652,0,1,1,22,17153,2,10,0,3
653,0,0,1,40,14683,6,8,7,4
654,0,1,0,37,425404,2,7,10,4
655,0,0,1,30,4565,1,6,0,2
656,0,1,0,32,14359,1,3,0,2
